isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,native_isotope_status,M_native_total_computed,M_observed_total_computed,GR_qA_total_computed,G_tensor_computed,retained_7G_computed,natural_synthetic_boundary_status,reference_clock
CR220-IZ011N011-FLOOR_PRIMARY,CR220-EZ011,11,11,22,11,11,11,33,33,33,11,11p+11n+11e,33u+33d+11e,1,11,3,18,1,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,1205.875,809.8750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,713.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ012N012-FLOOR_PRIMARY,CR220-EZ012,12,12,24,12,12,12,36,36,36,12,12p+12n+12e,36u+36d+12e,1,12,3,18,2,OPEN_SHELL,FLOOR_PRIMARY,1,0,0,STABLE_ANCHOR_ISOTOPE_CLOSURE,1315.500,883.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,889.6249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,111.2031250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,778.4218749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ013N014-FLOOR_PRIMARY,CR220-EZ013,13,14,27,13,14,13,40,40,41,13,13p+14n+13e,40u+41d+13e,2,1,3,18,3,OPEN_SHELL,FLOOR_PRIMARY,0.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,1,BOUND_ISOTOPE_LADDER_CLOSURE,1425.250,957.2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,843.399739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ013N015-CEIL_NEIGHBOR,CR220-EZ013,13,15,28,13,15,13,41,41,43,13,13p+15n+13e,41u+43d+13e,2,1,3,18,3,OPEN_SHELL,CEIL_NEIGHBOR,0.08333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1,BOUND_ISOTOPE_LADDER_CLOSURE,1425.375,957.3750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,964.0104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,120.5013020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,843.509114583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ014N015-FLOOR_PRIMARY,CR220-EZ014,14,15,29,14,15,14,43,43,44,14,14p+15n+14e,43u+44d+14e,2,2,3,18,4,OPEN_SHELL,FLOOR_PRIMARY,0.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,2,BOUND_ISOTOPE_LADDER_CLOSURE,1534.875,1030.875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,908.2682291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ014N016-CEIL_NEIGHBOR,CR220-EZ014,14,16,30,14,16,14,44,44,46,14,14p+16n+14e,44u+46d+14e,2,2,3,18,4,OPEN_SHELL,CEIL_NEIGHBOR,0.1666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,2,BOUND_ISOTOPE_LADDER_CLOSURE,1535.000,1031.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1038.145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,129.7682291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,908.3776041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ015N016-FLOOR_PRIMARY,CR220-EZ015,15,16,31,15,16,15,46,46,47,15,15p+16n+15e,46u+47d+15e,2,3,3,18,5,OPEN_SHELL,FLOOR_PRIMARY,0.75,1,3,BOUND_ISOTOPE_LADDER_CLOSURE,1644.500,1104.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1112.156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,139.019531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,973.136718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ015N017-CEIL_NEIGHBOR,CR220-EZ015,15,17,32,15,17,15,47,47,49,15,15p+17n+15e,47u+49d+15e,2,3,3,18,5,OPEN_SHELL,CEIL_NEIGHBOR,0.25,1,3,BOUND_ISOTOPE_LADDER_CLOSURE,1644.625,1104.625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1112.281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,139.035156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,973.246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ016N017-FLOOR_PRIMARY,CR220-EZ016,16,17,33,16,17,16,49,49,50,16,16p+17n+16e,49u+50d+16e,2,4,3,18,6,OPEN_SHELL,FLOOR_PRIMARY,0.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1,4,BOUND_ISOTOPE_LADDER_CLOSURE,1754.125,1178.125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1038.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
CR220-IZ016N018-CEIL_NEIGHBOR,CR220-EZ016,16,18,34,16,18,16,50,50,52,16,16p+18n+16e,50u+52d+16e,2,4,3,18,6,OPEN_SHELL,CEIL_NEIGHBOR,0.3333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,4,BOUND_ISOTOPE_LADDER_CLOSURE,1754.250,1178.250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1186.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,148.3020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1038.114583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,KNOWN_NATURAL_SURFACE_DOWNSTREAM,stable
