pair_id,cell_id,triad_candidate_id,triad_signature,low_face_bits,high_face_bits,directed_gate_count,complementary,vertex_disjoint,edge_disjoint,physical_scale_status
CELL_QP093A-0148_PAIR_001_110,CELL_QP093A-0148,QP093A-0148,1+9+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0148_PAIR_010_101,CELL_QP093A-0148,QP093A-0148,1+9+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0148_PAIR_011_100,CELL_QP093A-0148,QP093A-0148,1+9+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0149_PAIR_000_111,CELL_QP093A-0149,QP093A-0149,1+9+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0149_PAIR_001_110,CELL_QP093A-0149,QP093A-0149,1+9+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0149_PAIR_010_101,CELL_QP093A-0149,QP093A-0149,1+9+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0149_PAIR_011_100,CELL_QP093A-0149,QP093A-0149,1+9+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0150_PAIR_000_111,CELL_QP093A-0150,QP093A-0150,1+12+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0150_PAIR_001_110,CELL_QP093A-0150,QP093A-0150,1+12+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0150_PAIR_010_101,CELL_QP093A-0150,QP093A-0150,1+12+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0150_PAIR_011_100,CELL_QP093A-0150,QP093A-0150,1+12+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0151_PAIR_000_111,CELL_QP093A-0151,QP093A-0151,2+2+2,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0151_PAIR_001_110,CELL_QP093A-0151,QP093A-0151,2+2+2,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0151_PAIR_010_101,CELL_QP093A-0151,QP093A-0151,2+2+2,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0151_PAIR_011_100,CELL_QP093A-0151,QP093A-0151,2+2+2,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0152_PAIR_000_111,CELL_QP093A-0152,QP093A-0152,2+2+3,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0152_PAIR_001_110,CELL_QP093A-0152,QP093A-0152,2+2+3,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0152_PAIR_010_101,CELL_QP093A-0152,QP093A-0152,2+2+3,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0152_PAIR_011_100,CELL_QP093A-0152,QP093A-0152,2+2+3,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0153_PAIR_000_111,CELL_QP093A-0153,QP093A-0153,2+2+4,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0153_PAIR_001_110,CELL_QP093A-0153,QP093A-0153,2+2+4,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0153_PAIR_010_101,CELL_QP093A-0153,QP093A-0153,2+2+4,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0153_PAIR_011_100,CELL_QP093A-0153,QP093A-0153,2+2+4,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0154_PAIR_000_111,CELL_QP093A-0154,QP093A-0154,2+2+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0154_PAIR_001_110,CELL_QP093A-0154,QP093A-0154,2+2+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0154_PAIR_010_101,CELL_QP093A-0154,QP093A-0154,2+2+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0154_PAIR_011_100,CELL_QP093A-0154,QP093A-0154,2+2+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0155_PAIR_000_111,CELL_QP093A-0155,QP093A-0155,2+2+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0155_PAIR_001_110,CELL_QP093A-0155,QP093A-0155,2+2+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0155_PAIR_010_101,CELL_QP093A-0155,QP093A-0155,2+2+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0155_PAIR_011_100,CELL_QP093A-0155,QP093A-0155,2+2+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0156_PAIR_000_111,CELL_QP093A-0156,QP093A-0156,2+2+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0156_PAIR_001_110,CELL_QP093A-0156,QP093A-0156,2+2+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0156_PAIR_010_101,CELL_QP093A-0156,QP093A-0156,2+2+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0156_PAIR_011_100,CELL_QP093A-0156,QP093A-0156,2+2+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0157_PAIR_000_111,CELL_QP093A-0157,QP093A-0157,2+2+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0157_PAIR_001_110,CELL_QP093A-0157,QP093A-0157,2+2+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0157_PAIR_010_101,CELL_QP093A-0157,QP093A-0157,2+2+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0157_PAIR_011_100,CELL_QP093A-0157,QP093A-0157,2+2+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0158_PAIR_000_111,CELL_QP093A-0158,QP093A-0158,2+3+3,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0158_PAIR_001_110,CELL_QP093A-0158,QP093A-0158,2+3+3,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0158_PAIR_010_101,CELL_QP093A-0158,QP093A-0158,2+3+3,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
