candidate_id,bin,q_sign,q_abs,M_obs,qA_observed,qA_expected,qA_distance,qA_match,T_observed,T_expected,T_distance,T_match,W_observed,W_expected,W_distance,W_match,all_three_match
QP093A-0004,stable_matter_rows,positive,2,2.5,2.534722222,2.5347222222222222222222222222222222222222222222222222222222222222222222222222222,2.222222222222222222222222222222222222222222222222222222222222222222222E-10,True,0.316840278,0.31684027777777777777777777777777777777777777777777777777777777777777777777777778,2.2222222222222222222222222222222222222222222222222222222222222222222222E-10,True,2.217881944,2.2178819444444444444444444444444444444444444444444444444444444444444444444444444,4.444444444444444444444444444444444444444444444444444444444444444444444E-10,True,True
QP093A-0005,stable_matter_rows,negative,2,3,3.041666667,3.0416666666666666666666666666666666666666666666666666666666666666666666666666667,3.333333333333333333333333333333333333333333333333333333333333333333333E-10,True,0.380208333,0.38020833333333333333333333333333333333333333333333333333333333333333333333333334,3.3333333333333333333333333333333333333333333333333333333333333333333334E-10,True,2.661458333,2.6614583333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-10,True,True
QP093A-0030,stable_matter_rows,neutral,0,3,3,3,0,True,0.375,0.375,0.000,True,2.625,2.625,0.000,True,True
QP093A-0028,stable_matter_rows,positive,2,30,30.41666667,30.416666666666666666666666666666666666666666666666666666666666666666666666666667,3.333333333333333333333333333333333333333333333333333333333333333333333E-9,True,3.802083333,3.8020833333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-10,True,26.61458333,26.614583333333333333333333333333333333333333333333333333333333333333333333333334,3.333333333333333333333333333333333333333333333333333333333333333333334E-9,True,True
QP093A-0029,stable_matter_rows,negative,2,36,36.5,36.500000000000000000000000000000000000000000000000000000000000000000000000000000,0E-78,True,4.5625,4.562500000000000000000000000000000000000000000000000000000000000000000000000000,0E-78,True,31.9375,31.93750000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,True
QP093A-0054,stable_matter_rows,neutral,0,36,36,36,0,True,4.5,4.5,0.0,True,31.5,31.5,0.0,True,True
QP093A-0052,stable_matter_rows,positive,2,360,365,365.00000000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,45.625,45.62500000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,319.375,319.3750000000000000000000000000000000000000000000000000000000000000000000000000,0E-76,True,True
QP093A-0053,stable_matter_rows,negative,2,432,438,438.00000000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,54.75,54.75000000000000000000000000000000000000000000000000000000000000000000000000000,0E-77,True,383.25,383.2500000000000000000000000000000000000000000000000000000000000000000000000000,0E-76,True,True
QP093A-0235,bound_composite_rows,neutral,0,10.75,10.75,10.75,0.00,True,1.34375,1.34375,0.00000,True,9.40625,9.40625,0.00000,True,True
QP093A-0236,bound_composite_rows,negative,1,27.00520833,27.1927445,27.192744498958333333333333333333333333333333333333333333333333333333333333333332,1.041666666666666666666666666666666666666666666666666666666666666666668E-9,True,3.399093063,3.3990930623697916666666666666666666666666666666666666666666666666666666666666665,6.302083333333333333333333333333333333333333333333333333333333333333335E-10,True,23.79365144,23.793651436588541666666666666666666666666666666666666666666666666666666666666665,3.411458333333333333333333333333333333333333333333333333333333333333335E-9,True,True
QP093A-0009,stable_matter_rows,neutral,0,0.375,0.375,0.375,0.000,True,0.046875,0.046875,0.000000,True,0.328125,0.328125,0.000000,True,True
QP093A-0007,stable_matter_rows,positive,3,3.75,3.828125,3.8281249999999999999999999999999999999999999999999999999999999999999999999999999,1E-79,True,0.478515625,0.47851562499999999999999999999999999999999999999999999999999999999999999999999999,1E-80,True,3.349609375,3.3496093749999999999999999999999999999999999999999999999999999999999999999999999,1E-79,True,True
QP093A-0008,stable_matter_rows,negative,3,4.5,4.59375,4.5937499999999999999999999999999999999999999999999999999999999999999999999999998,2E-79,True,0.57421875,0.57421874999999999999999999999999999999999999999999999999999999999999999999999998,2E-80,True,4.01953125,4.0195312499999999999999999999999999999999999999999999999999999999999999999999999,1E-79,True,True
QP093A-0033,stable_matter_rows,neutral,0,4.5,4.5,4.5,0.0,True,0.5625,0.5625,0.0000,True,3.9375,3.9375,0.0000,True,True
QP093A-0031,stable_matter_rows,positive,3,45,45.9375,45.937499999999999999999999999999999999999999999999999999999999999999999999999998,2E-78,True,5.7421875,5.7421874999999999999999999999999999999999999999999999999999999999999999999999998,2E-79,True,40.1953125,40.195312499999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,True
QP093A-0032,stable_matter_rows,negative,3,54,55.125,55.124999999999999999999999999999999999999999999999999999999999999999999999999998,2E-78,True,6.890625,6.8906249999999999999999999999999999999999999999999999999999999999999999999999998,2E-79,True,48.234375,48.234374999999999999999999999999999999999999999999999999999999999999999999999999,1E-78,True,True
QP093A-0057,stable_matter_rows,neutral,0,54,54,54,0,True,6.75,6.75,0.00,True,47.25,47.25,0.00,True,True
QP093A-0055,stable_matter_rows,positive,3,540,551.25,551.24999999999999999999999999999999999999999999999999999999999999999999999999998,2E-77,True,68.90625,68.906249999999999999999999999999999999999999999999999999999999999999999999999998,2E-78,True,482.34375,482.34374999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,True
QP093A-0056,stable_matter_rows,negative,3,648,661.5,661.49999999999999999999999999999999999999999999999999999999999999999999999999998,2E-77,True,82.6875,82.687499999999999999999999999999999999999999999999999999999999999999999999999998,2E-78,True,578.8125,578.81249999999999999999999999999999999999999999999999999999999999999999999999999,1E-77,True,True
