scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_count,escape_only_count,dual_count,return_only_count,neither_count,reinforcer_count,canceller_count,neutral_count,total_power_proxy,incoherent_power_expectation,coherence_gain,coarse_power_proxy,fine_coarse_relative_error,sum_individual_delta_power,reinforcement_tolerance
REF_0141,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,localized_ledger_cells,5346,33,discovery,594,559,35,0,0,300,294,0,30.63072811173818,38.7605273529463,0.7902557112502715,30.064105660275153,0.018498497632705217,22.50092887053005,5.156688234299356e-14
REF_0142,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,2,dispersed_slots,5346,33,discovery,594,550,3,2,39,299,295,0,26.11611548136387,25.07212084372128,1.0416396620034654,25.618708539103807,0.019045977286132266,27.160110119006465,4.396652437940045e-14
REF_0143,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,localized_ledger_cells,9072,56,discovery,1008,947,61,0,0,559,449,0,108.72187229286135,43.75927618624852,2.48454457587732,106.71399310604112,0.018468033565607295,173.68446839947416,1.0785900029053705e-13
REF_0144,REFERENCE_MIDDLE_DRIVE,middle_drive,910002,3,dispersed_slots,9072,56,discovery,1008,943,20,1,44,497,511,0,16.969660852426934,40.05258444636765,0.42368454088524876,16.649454802218173,0.01886932526191093,-6.113262741513804,1.68349810043918e-14
REF_0145,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,localized_ledger_cells,2268,14,validation,252,234,18,0,0,152,100,0,57.19149933607906,12.672208412046803,4.513143840162075,56.03089019017979,0.02029338554457351,101.71079026011131,2.2695039419078993e-13
REF_0146,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,0,dispersed_slots,2268,14,validation,252,211,1,1,39,135,117,0,11.575262632051446,20.158271506776316,0.5742190062357458,11.345413187738316,0.01985695285018294,2.9922537573265764,4.593358187322002e-14
REF_0147,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,localized_ledger_cells,3402,21,validation,378,340,38,0,0,216,162,0,68.11539019972892,12.299351340063762,5.538128663570302,66.7753121451515,0.019673645715718904,123.9314290593941,1.8019944497282782e-13
REF_0148,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,1,dispersed_slots,3402,21,validation,378,333,3,1,41,204,174,0,27.695521063203795,30.03316291697824,0.9221646464531067,27.113293332957817,0.02102245084745942,25.357879209429345,7.326857424127988e-14
REF_0149,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,localized_ledger_cells,5346,33,validation,594,561,33,0,0,310,284,0,42.50967978062119,16.424505077781202,2.588186345908686,41.710861767607305,0.018791438023911942,68.59485448346119,7.156511747579324e-14
REF_0150,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,dispersed_slots,5346,33,validation,594,545,6,1,42,302,292,0,7.4706504227408645,35.62006093731072,0.20973154526290072,7.318427398670191,0.020376140691485526,-20.67876009182898,1.2576852563536808e-14
REF_0151,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,localized_ledger_cells,9072,56,validation,1008,967,41,0,0,532,476,0,23.17195142703047,32.5553079317263,0.7117718399600388,22.72241472285099,0.01940003653102305,13.788594922334644,2.2988047050625467e-14
REF_0152,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,dispersed_slots,9072,56,validation,1008,946,16,2,44,501,507,0,22.027038342843646,39.53849849978184,0.5571035618098948,21.650720387035214,0.017084364677228316,4.515578185905458,2.18522205782179e-14
REF_0153,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,localized_ledger_cells,2268,14,final,252,222,30,0,0,141,111,0,136.07559397022402,13.16899616257237,10.33302708045164,133.37811887868202,0.019823357097616366,258.98219177787564,5.399825157548572e-13
REF_0154,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,dispersed_slots,2268,14,final,252,210,0,0,42,138,114,0,11.379780712442264,30.006005004949024,0.3792501104550688,11.165569300587336,0.018823861132993204,-7.246443580064489,4.515785997000898e-14
