split,source,isotope,Z,N,A,N_minus_Z,m_measured_u,B_u,R,S,M,Theta,V,pairing_sign,z_residue_mod_R,intercept,bw_volume_A,bw_surface_A_to_two_thirds,bw_coulomb_ZZminus1_over_A_third,bw_asymmetry_NmZ_squared_over_A,bw_pairing_over_sqrt_A,sam_volume_A_over_SM,sam_surface_A23_over_RV,sam_coulomb_ZZminus1_over_A13_SMV,sam_asymmetry_NmZ2_over_A_STheta,sam_pairing_over_MsqrtA,sam_z_residue_over_RM,sam_abs_NmZ_over_AR,untyped_A,untyped_Z,untyped_N_minus_Z,untyped_ZZminus1,untyped_NmZ_squared,confidence_lane
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ti-48,22,26,48,4,47.94794198,0.05205801999999693,12,8,126,18,27,1,9,1.0,48.0,13.207708995578505,127.12419908244314,0.3333333333333333,0.14433756729740646,0.047619047619047616,0.040764533936970694,0.004670936180277893,0.0023148148148148147,0.0011455362483921148,0.005952380952380952,0.006944444444444444,48.0,22.0,4.0,462.0,16.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Fe-56,26,30,56,4,55.934937527,0.06506247299999757,12,8,126,18,27,1,1,1.0,56.0,14.637222840091884,169.89633653678084,0.2857142857142857,0.1336306209562122,0.05555555555555555,0.045176613703987296,0.006242516774573075,0.001984126984126984,0.001060560483779462,0.0006613756613756613,0.005952380952380952,56.0,26.0,4.0,650.0,16.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ni-58,28,30,58,2,57.93534243,0.06465757000000139,12,8,126,18,27,1,3,1.0,58.0,14.983685966957935,195.30459639690002,0.06896551724137931,0.13130643285972254,0.057539682539682536,0.046245944342462764,0.007176094811761464,0.0004789272030651341,0.0010421145465057346,0.001984126984126984,0.0028735632183908046,58.0,28.0,2.0,756.0,4.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Cu-63,29,34,63,5,62.92959772,0.07040228000000326,12,8,126,18,27,0,4,1.0,63.0,15.832896263712227,204.06844073229098,0.3968253968253968,0.0,0.0625,0.04886696377688959,0.007498105553067717,0.002755731922398589,0.0,0.0026455026455026454,0.006613756613756613,63.0,29.0,5.0,812.0,25.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Zn-64,30,34,64,4,63.92914201,0.07085799000000037,12,8,126,18,27,1,5,1.0,64.0,15.999999999999998,217.50000000000003,0.25,0.125,0.06349206349206349,0.04938271604938271,0.00799162257495591,0.001736111111111111,0.000992063492063492,0.0033068783068783067,0.005208333333333333,64.0,30.0,4.0,870.0,16.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Br-79,35,44,79,9,78.9183371,0.08166289999999776,12,8,126,18,27,0,10,1.0,79.0,18.41131157020244,277.33494643722673,1.0253164556962024,0.0,0.07837301587301587,0.056825035710501355,0.01019014353458358,0.007120253164556962,0.0,0.006613756613756613,0.00949367088607595,79.0,35.0,9.0,1190.0,81.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Kr-84,36,48,84,12,83.91149773,0.08850227000000643,12,8,126,18,27,1,11,1.0,84.0,19.180187896644355,287.70281844966536,1.7142857142857142,0.1091089451179962,0.08333333333333333,0.05919811079211221,0.01057109121287718,0.011904761904761904,0.0008659440088729857,0.007275132275132275,0.011904761904761904,84.0,36.0,12.0,1260.0,144.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ag-107,47,60,107,13,106.90509682,0.09490318000000286,12,8,126,18,27,0,10,1.0,107.0,22.538370740628164,455.4014723480196,1.5794392523364487,0.0,0.10615079365079365,0.06956287265625977,0.016732858331423413,0.010968328141225338,0.0,0.006613756613756613,0.010124610591900311,107.0,47.0,13.0,2162.0,169.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Sn-120,50,70,120,20,119.90220163,0.09779837000000668,12,8,126,18,27,1,1,1.0,120.0,24.328807982293597,496.7131629718277,3.3333333333333335,0.09128709291752768,0.11904761904761904,0.07508891352559752,0.01825077759302718,0.023148148148148147,0.0007245007374406958,0.0006613756613756613,0.013888888888888888,120.0,50.0,20.0,2450.0,400.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,I-127,53,74,127,21,126.9044719,0.09552809999999567,12,8,126,18,27,0,4,1.0,127.0,25.26596056564665,548.2912387316708,3.47244094488189,0.0,0.1259920634920635,0.07798135977051436,0.02014591559125774,0.024114173228346455,0.0,0.0026455026455026454,0.013779527559055118,127.0,53.0,21.0,2756.0,441.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Xe-132,54,78,132,24,131.90415509,0.09584491000001094,12,8,126,18,27,1,5,1.0,132.0,25.92483220379743,562.0974982368808,4.363636363636363,0.08703882797784893,0.13095238095238096,0.08001491420925133,0.02065320025855676,0.030303030303030304,0.000690784349030547,0.0033068783068783067,0.015151515151515152,132.0,54.0,24.0,2862.0,576.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Cs-133,55,78,133,23,132.90545196,0.0945480400000065,12,8,126,18,27,0,6,1.0,133.0,26.055600933891245,581.843118598925,3.9774436090225564,0.0,0.13194444444444445,0.0804185214008989,0.021378715410013408,0.02762113617376775,0.0,0.003968253968253968,0.014411027568922305,133.0,55.0,23.0,2970.0,529.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Au-197,79,118,197,39,196.966568795,0.03343120499999941,12,8,126,18,27,0,6,1.0,197.0,33.856663005926926,1059.0089210280294,7.720812182741117,0.0,0.19543650793650794,0.1044958734750831,0.03891126253042435,0.053616751269035534,0.0,0.003968253968253968,0.01649746192893401,197.0,79.0,39.0,6162.0,1521.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Hg-200,80,120,200,40,199.9683259,0.03167410000000359,12,8,126,18,27,1,7,1.0,200.0,34.19951893353393,1080.7047982996726,8.0,0.07071067811865475,0.1984126984126984,0.10555407078251212,0.03970843615151649,0.05555555555555555,0.0005611958580845615,0.004629629629629629,0.016666666666666666,200.0,80.0,40.0,6320.0,1600.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Pb-208,82,126,208,44,207.976652252,0.023347747999991952,12,8,126,18,27,1,9,1.0,208.0,35.105531821316504,1121.0141459480014,9.307692307692308,0.06933752452815364,0.20634920634920634,0.10835040685591514,0.041189526232657314,0.06463675213675214,0.0005502978137155051,0.005952380952380952,0.017628205128205128,208.0,82.0,44.0,6642.0,1936.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Th-232,90,142,232,52,232.038054,-0.038053999999988264,12,8,126,18,27,1,5,1.0,232.0,37.75652270956944,1303.5764952743589,11.655172413793103,0.06565321642986127,0.23015873015873015,0.1165324774986711,0.04789743148421365,0.08093869731800767,0.0005210572732528673,0.0033068783068783067,0.01867816091954023,232.0,90.0,52.0,8010.0,2704.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,U-235,92,143,235,51,235.043929908,-0.04392990799999552,12,8,126,18,27,0,7,1.0,235.0,38.081312494483804,1356.6670136332702,11.068085106382979,0.0,0.23313492063492064,0.11753491510643149,0.0498481413004582,0.07686170212765958,0.0,0.004629629629629629,0.018085106382978722,235.0,92.0,51.0,8372.0,2601.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,U-238,92,146,238,54,238.050788268,-0.05078826799999092,12,8,126,18,27,1,7,1.0,238.0,38.4047230880316,1350.9426121554648,12.252100840336135,0.06482037235521644,0.2361111111111111,0.11853309595071482,0.04963780908860468,0.08508403361344538,0.0005144473996445749,0.004629629629629629,0.018907563025210083,238.0,92.0,54.0,8372.0,2916.0,LANE_A_HARD_MEASURED
