row_index,candidate_id,bin,operator_class,route_combination,spin_or_hand_class,numeric_signature_key
22,QP093A-0085,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=9,g=0])",fermion_half_write,antimatter_conjugate_rows|9|0|negative|9|conjugate_axis|11.25|negative_credit|depth=0|-8.4375|19.6875|20.91796875|2.61474609375|18.30322265625
23,QP093A-0086,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=9,g=0])",fermion_half_write,antimatter_conjugate_rows|9|0|positive|9|conjugate_axis|13.5|positive_debit|depth=0|10.125|3.375|3.5859375|0.4482421875|3.1376953125
24,QP093A-0087,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=12,g=0])",fermion_half_write,antimatter_conjugate_rows|12|0|negative|12|conjugate_axis|15.00|negative_credit|depth=0|-15.00|30.00|32.49999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|4.062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|28.43749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
25,QP093A-0088,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=12,g=0])",fermion_half_write,antimatter_conjugate_rows|12|0|positive|12|conjugate_axis|18.0|positive_debit|depth=0|18.0|0.0|0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,QP093A-0089,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=1,g=1])",fermion_half_write,antimatter_conjugate_rows|1|1|negative|1|conjugate_axis|15.00|negative_credit|depth=1|-0.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|15.10416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|15.20905671296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296|1.90113208912037037037037037037037037037037037037037037037037037037037037037037037037037037037037037|13.30792462384259259259259259259259259259259259259259259259259259259259259259259259259259259259259259
27,QP093A-0090,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=1,g=1])",fermion_half_write,antimatter_conjugate_rows|1|1|positive|1|conjugate_axis|18.0|positive_debit|depth=1|0.1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|17.87500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|17.99913194444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444|2.249891493055555555555555555555555555555555555555555555555555555555555555555555555555555555555555555|15.74924045138888888888888888888888888888888888888888888888888888888888888888888888888888888888888889
28,QP093A-0091,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=2,g=1])",fermion_half_write,antimatter_conjugate_rows|2|1|negative|2|conjugate_axis|30.00|negative_credit|depth=1|-0.4166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666668|30.41666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|30.83912037037037037037037037037037037037037037037037037037037037037037037037037037037037037037037038|3.854890046296296296296296296296296296296296296296296296296296296296296296296296296296296296296296298|26.98423032407407407407407407407407407407407407407407407407407407407407407407407407407407407407407409
29,QP093A-0092,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=2,g=1])",fermion_half_write,antimatter_conjugate_rows|2|1|positive|2|conjugate_axis|36.0|positive_debit|depth=1|0.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001|35.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|35.99305555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556|4.499131944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444445|31.49392361111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
30,QP093A-0093,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=3,g=1])",fermion_half_write,antimatter_conjugate_rows|3|1|negative|3|conjugate_axis|45.00|negative_credit|depth=1|-0.9375|45.9375|46.89453124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|5.861816406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|41.03271484374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
31,QP093A-0094,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=3,g=1])",fermion_half_write,antimatter_conjugate_rows|3|1|positive|3|conjugate_axis|54.0|positive_debit|depth=1|1.125|52.875|53.97656249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|6.747070312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998|47.22949218749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
32,QP093A-0095,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=4,g=1])",fermion_half_write,antimatter_conjugate_rows|4|1|negative|4|conjugate_axis|60.00|negative_credit|depth=1|-1.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666|61.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|63.37962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962965|7.922453703703703703703703703703703703703703703703703703703703703703703703703703703703703703703703706|55.45717592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592595
33,QP093A-0096,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=4,g=1])",fermion_half_write,antimatter_conjugate_rows|4|1|positive|4|conjugate_axis|72.0|positive_debit|depth=1|2.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|70.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|71.94444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444446|8.993055555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555558|62.9513888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889
