signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
1+3+12,3,2,1386183810763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7027181818455825617283950617283950617283950617283950617283950617283950617283950617283950617283950619/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+4+4,0,2,1683,13651/64,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+4+6,3,3,1908345052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2435127800835503472222222222222222222222222222222222222222222222222222222222222222222222222222222221/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+4+8,3,1,746559/256,3670622253417968749999999999999999999999999999999999999999999999999999999999999999999999999999999999/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+4+9,3,3,3528638020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,225134457058376736111111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+4+12,3,3,5797048177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,369863750881618923611111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+6+6,3,5,2628728732638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3400005044819396219135802469135802469135802469135802469135802469135802469135802469135802469135802469/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+6+8,0,3,5454,3479765624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+6+9,3,5,4249177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5495898565598476080246913580246913580246913580246913580246913580246913580246913580246913580246913579/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+6+12,3,5,6517806857638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4215074747344593942901234567901234567901234567901234567901234567901234567901234567901234567901234567/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
1+8+8,3,5,4645287760416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,187757127903125904224537037037037037037037037037037037037037037037037037037037037037037037037037037/312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
