native_id,partition_mode,generator_exponents,generator_exponent_alphaH,generator_exponent_D,depth,charge_sign,charge_magnitude,native_charge_axis,operator_class,route_class,native_mass_or_weight,native_mass_fraction,source_support,source_support_decimal,tensor_support,tensor_support_decimal,retained_support,retained_support_decimal,selector_rule,address_signature,route_combination,construction_hash
SAMN63-0037,6,alpha_H^1*D^1,1,1,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,9,9,9,9,9/8,1.125,63/8,7.875,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=1|q=neutral:0,"neutral_single_write[p=6,g=1]",fa8a88316c5d687cd0d7f076f9235ff9819f8756daeb8f409cd8038b88ef8828
SAMN63-0038,6,alpha_H^1*D^1,1,1,1,positive,6,plus,V4_1_SINGLE_WRITE,single_write,90,90,725/8,90.625,725/64,11.328125,5075/64,79.296875,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=1|q=positive:6,"positive_single_write[p=6,g=1]",92f11903dcbb0b58826e7a1cc37b03b3e6274fa2d3c26e68a17665e3e2f9bb4e
SAMN63-0039,6,alpha_H^1*D^1,1,1,1,negative,6,minus,V4_1_SINGLE_WRITE,single_write,108,108,435/4,108.75,435/32,13.59375,3045/32,95.15625,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=1|q=negative:6,"negative_single_write[p=6,g=1]",e75142c9526dcf07f20b96dc0d67de1286f0d80b420c93e03c765053898d8e4b
SAMN63-0040,8,alpha_H^3*D^0,3,0,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,12,12,12,12,3/2,1.5,21/2,10.5,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=1|q=neutral:0,"neutral_single_write[p=8,g=1]",9afc80746ec1c759855201fe9da4c3734aa5e20d4318543580ca4a572f6be5c8
SAMN63-0041,8,alpha_H^3*D^0,3,0,1,positive,8,plus,V4_1_SINGLE_WRITE,single_write,120,120,725/6,120.833333333333333333333333333333333333333333333333,725/48,15.104166666666666666666666666666666666666666666667,5075/48,105.729166666666666666666666666666666666666666666667,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=1|q=positive:8,"positive_single_write[p=8,g=1]",77acb2880d2f35ebce92bffee37e01cfaf2c9dc331d9196b330ca6238ebd496d
SAMN63-0042,8,alpha_H^3*D^0,3,0,1,negative,8,minus,V4_1_SINGLE_WRITE,single_write,144,144,145,145,145/8,18.125,1015/8,126.875,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=1|q=negative:8,"negative_single_write[p=8,g=1]",5f8aa4a5560864d8f75b61dc42666195860f535e4fe45518ef4ae72778d59044
SAMN63-0043,9,alpha_H^0*D^2,0,2,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,13.5,27/2,27/2,13.5,27/16,1.6875,189/16,11.8125,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=1|q=neutral:0,"neutral_single_write[p=9,g=1]",9a05d0bbea4989db5f3a71d6d2211c42c77ae8869f73829e82f41e1a623e45d1
SAMN63-0044,9,alpha_H^0*D^2,0,2,1,positive,9,plus,V4_1_SINGLE_WRITE,single_write,135,135,2175/16,135.9375,2175/128,16.9921875,15225/128,118.9453125,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=1|q=positive:9,"positive_single_write[p=9,g=1]",04352b1a1773191075c88221417f6e8cf35b947c87809ea2fd1044c14d5176c0
SAMN63-0045,9,alpha_H^0*D^2,0,2,1,negative,9,minus,V4_1_SINGLE_WRITE,single_write,162,162,1305/8,163.125,1305/64,20.390625,9135/64,142.734375,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=1|q=negative:9,"negative_single_write[p=9,g=1]",b26942aefa133d09e79e961f7ea1e07a4fa00b35830d51f15176f3a9ae93c258
SAMN63-0046,12,alpha_H^2*D^1,2,1,1,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,18,18,18,18,9/4,2.25,63/4,15.75,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=1|q=neutral:0,"neutral_single_write[p=12,g=1]",0a9abb2269855d8b94da4282072ffd4bc09bf983b9a8bd0c612bd136fb49d568
SAMN63-0047,12,alpha_H^2*D^1,2,1,1,positive,12,plus,V4_1_SINGLE_WRITE,single_write,180,180,725/4,181.25,725/32,22.65625,5075/32,158.59375,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=1|q=positive:12,"positive_single_write[p=12,g=1]",03f12b46c7a620f60d3db1ba87f1fe33135082a68078cbb096b2441197e1facb
SAMN63-0048,12,alpha_H^2*D^1,2,1,1,negative,12,minus,V4_1_SINGLE_WRITE,single_write,216,216,435/2,217.5,435/16,27.1875,3045/16,190.3125,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=1|q=negative:12,"negative_single_write[p=12,g=1]",12ded4061a338f3a7b42515b57fad3bfd6e134460d4d73a094df787483fc20ee
