qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,charge_orientation,closure_depth,native_signature_id,payload_status,source_disposition,source_stability,source_closure
TPL_455002e038d432679393377e,TOK_106dea09d9dde05f332ce5d9,UNARY,9,positive,0,TYPEDRAW_7cb550aa6dab1a7a272a2b00,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_46aaafa417e978f2dca81d16,TOK_878037e87b5bf80764aaf08b,PAIR,8|8,neutral,1,TYPEDRAW_b600382dd4c61066d2dfaca1,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_46df498fe8a0e225fdfc0d48,TOK_f2c2535058be79a14f46084c,TRIAD,6|8|12,negative,3,TYPEDRAW_8e27f705d864f7983ec838df,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_4b303006b5e94683b40b3cab,TOK_5c6c8b87dad33d0dad196b2e,REJECTED,9|9|9,neutral,0,TYPEDRAW_8e426d8ea689279580fc8967,REJECTED,REJECTED,bound_composite_rows,REJECT_NEGATIVE_OBSERVED_SURFACE
TPL_4c61e613f46de25d2ab4f258,TOK_3bd9f82f617648b5ee5930af,TRIAD,2|2|12,neutral,3,TYPEDRAW_774fdb6a26b2eb6749786c2c,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_4eaac042a2fd196390f23013,TOK_30c4de440f84f33e7b27fdfc,PAIR,4|1,positive,3,TYPEDRAW_3ff5f577e993a4672d979f31,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_4ff07fa09136f88135539aa1,TOK_96d1ff05f24e55c6ed6d0bc8,PAIR,8|6,positive,3,TYPEDRAW_3fc10a1c199c71671472457f,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_5047c569797686dcc05323e1,TOK_141592d087781df4b8d1dd05,UNARY,3,positive,0,TYPEDRAW_eb338bd7acd176a8d6a1e6b5,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_5050bc7182fb3505b99e077c,TOK_6d3fe85452330dcf9ffc3d28,PAIR,12|8,positive,3,TYPEDRAW_40d5abafe9c04a879fe2ead8,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_PAIR_WRITE
TPL_531adcd59de90f961d7f1784,TOK_f1f3539f5af2506f3e081353,PAIR,6|9,negative,3,TYPEDRAW_b299125142f66e40798f3806,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_5345281071a352e3d9a622d0,TOK_702c665e177a46a0bea405f6,TRIAD,1|3|12,negative,3,TYPEDRAW_80d54b52d51ce0e81496c72b,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_53b6795aeefc5f27c517c44f,TOK_878ede83bfb1f4ed61161ed6,PAIR,3|12,negative,3,TYPEDRAW_c9b7801e083f93c064be88c7,PAYLOAD,LEGAL_LOCAL_TEMPLATE,unstable_resonance_rows,CLOSED_PAIR_WRITE
TPL_55124dbc1e9f7533d1763e41,TOK_44dce2955ee2b7d6f922a8b1,UNARY,1,positive,1,TYPEDRAW_00742e72ba01824bb7636545,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_57802958e88549166e6f1715,TOK_ab87f40787cda9639ea3ea49,TRIAD,2|9|9,negative,3,TYPEDRAW_df316b5dc31b0cf50397a682,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_5888cf9939600c92f59ecc96,TOK_32185c11c2d28adb26083a99,UNARY,1,positive,1,TYPEDRAW_3098baec30c1b925e6708018,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_58cfdae6acf2ee6faf1e70f9,TOK_00d00434c0d3fe0ecb8c82c7,TRIAD,3|4|6,negative,3,TYPEDRAW_c79f91bffbeec44d2569e4a7,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_5a31a1ceb57f4d861819cf55,TOK_ed05b9b335d56c6aa0952866,UNARY,6,positive,0,TYPEDRAW_afc1f8f3ad07d03f1b624a4e,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_5ae9e96adc7526a3b6f2fc30,TOK_2d1440ccfcc074b1cb64ba5b,UNARY,4,positive,0,TYPEDRAW_78069ecbdf8b3920c5d7498c,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_5aee903786ad7356789dcfe8,TOK_e39f60bd6354ead1dbcfc2bf,TRIAD,8|8|9,neutral,3,TYPEDRAW_59c312a005e36b22fff9ef03,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
