Z,N,A,P_address,G_CR220,GR_CR220,kappa_floor_fraction,kappa_floor_decimal,neutron_excess_N_minus_Z,neutron_excess_term_fraction,neutron_excess_term_decimal,G_from_Z_kappa_floor_plus_excess_fraction,G_from_Z_kappa_floor_plus_excess_decimal,GR_from_formula_fraction,GR_from_formula_decimal,kappa_effective_fraction,kappa_effective_decimal,kappa_delta_from_floor_fraction,kappa_delta_from_floor_decimal,formula_matches_G,formula_matches_GR,kappa_eff_matches_G_over_Z,kappa_kind
18,19,37,18p+19n+18e,166.820312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1334.562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,21353/128,166.8203125,21353/16,1334.5625,21353/2304,9.267795138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,1/1152,0.0008680555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556,True,True,True,effective_element_quotient
19,20,39,19p+20n+19e,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,135235/768,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135235/96,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,135235/14592,9.267749451754385964912280701754385964912280701754385964912280701754385964912280701754385964912280702,1/1216,0.0008223684210526315789473684210526315789473684210526315789473684210526315789473684210526315789473684211,True,True,True,effective_element_quotient
20,21,41,20p+21n+20e,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,8897/48,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,8897/6,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,8897/960,9.267708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/1280,0.00078125,True,True,True,effective_element_quotient
21,22,43,21p+22n+21e,194.6210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1556.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,49823/256,194.62109375,49823/32,1556.96875,49823/5376,9.267671130952380952380952380952380952380952380952380952380952380952380952380952380952380952380952381,1/1344,0.0007440476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190476190,True,True,True,effective_element_quotient
22,23,45,22p+23n+22e,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,78293/384,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,78293/48,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,78293/8448,9.267637310606060606060606060606060606060606060606060606060606060606060606060606060606060606060606061,1/1408,0.0007102272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727272727,True,True,True,effective_element_quotient
23,24,47,23p+24n+23e,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1,1/64,0.015625,163703/768,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,163703/96,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,163703/17664,9.267606431159420289855072463768115942028985507246376811594202898550724637681159420289855072463768116,1/1472,0.0006793478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826087,True,True,True,effective_element_quotient
24,26,50,24p+26n+24e,222.4374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1779.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2,1/32,0.03125,3559/16,222.4375,3559/2,1779.5,3559/384,9.268229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1/768,0.001302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
25,29,54,25p+29n+25e,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4,1/16,0.0625,177973/768,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,177973/96,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,177973/19200,9.269427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/400,0.0025,True,True,True,effective_element_quotient
26,30,56,26p+30n+26e,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4,1/16,0.0625,92545/384,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,92545/48,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,92545/9984,9.269330929487179487179487179487179487179487179487179487179487179487179487179487179487179487179487179,1/416,0.002403846153846153846153846153846153846153846153846153846153846153846153846153846153846153846153846154,True,True,True,effective_element_quotient
27,31,58,27p+31n+27e,250.2695312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2002.156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4,1/16,0.0625,64069/256,250.26953125,64069/32,2002.15625,64069/6912,9.269241898148148148148148148148148148148148148148148148148148148148148148148148148148148148148148148,1/432,0.002314814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814814815,True,True,True,effective_element_quotient
