bin_index,label,ell_center,X_data,X_sig,X_model,residual,residual_over_sigma
139,wide_TT_09,1050.5,0.006239012394924648,0.0001485511905518015,0.006248964180452911,-9.951785528263327e-06,-0.06699229734407969
140,wide_TT_10,1100.5,0.006335412224282045,0.0001328191804328922,0.006350995849503384,-1.5583625221339548e-05,-0.1173296294296386
141,wide_TT_11,1150.5,0.005867054490707815,0.0001197290672772209,0.0058066066306942795,6.0447860013535144e-05,0.504872053112834
142,wide_TT_12,1200.5,0.004541703374306671,9.548432421741924e-05,0.004582292080734063,-4.0588706427391666e-05,-0.4250824076103903
143,wide_TT_13,1250.5,0.003379831393943168,7.468752572969068e-05,0.0033669114242315594,1.2919969711608446e-05,0.17298698257013412
144,wide_TT_14,1300.5,0.002711574704488739,6.119660361204915e-05,0.002713810978358519,-2.2362738697797972e-06,-0.036542450688219104
145,wide_TT_15,1350.5,0.002647729652737034,5.612396640220113e-05,0.0026003531121392047,4.7376540597829104e-05,0.8441409906476433
146,wide_TT_16,1400.5,0.002637148477685405,5.247648778611326e-05,0.0026128797521221556,2.426872556324927e-05,0.4624685566260677
147,wide_TT_17,1450.5,0.002460285663440591,4.638039901594474e-05,0.0023963102130752385,6.397545036535262e-05,1.3793639494856225
148,wide_TT_18,1500.5,0.001917746931726579,4.045661532673856e-05,0.0019188365136426496,-1.0895819160705762e-06,-0.026932107574269826
149,wide_TT_19,1550.5,0.001414488448281772,3.19328917528596e-05,0.0013952074815748988,1.928096670687318e-05,0.6037964508850522
150,wide_TT_20,1600.5,0.001075164109239995,2.511682135566526e-05,0.0010395201446979697,3.5643964542025376e-05,1.4191272071131587
151,wide_TT_21,1650.5,0.000905286821279733,2.228469353548598e-05,0.0008966491966874587,8.63762459227431e-06,0.3876034722451902
152,wide_TT_22,1700.5,0.0008764842512723408,2.021702545322853e-05,0.0008617540569011547,1.4730194371186047e-05,0.7286034439271939
153,wide_TT_23,1750.5,0.0008086195876167039,1.907658228533854e-05,0.0008085050988377302,1.144887789737356e-07,0.006001535141948716
154,wide_TT_24,1800.5,0.0006742832330940291,1.760927381912183e-05,0.0006909457965093296,-1.6662563415300495e-05,-0.9462379645210977
155,wide_TT_25,1850.5,0.0005873784207893186,1.470196827812879e-05,0.0005478025021449725,3.957591864434606e-05,2.691878930470875
156,wide_TT_26,1900.5,0.0004407193405819998,1.240864426091158e-05,0.0004385330504381864,2.186290143813376e-06,0.17619089546312486
157,wide_TT_27,1950.5,0.0004070061372077908,1.177540830219979e-05,0.00038514777094032245,2.1858366267468374e-05,1.8562724711112535
158,wide_TT_28,2000.5,0.0003620848639856558,1.098648740334075e-05,0.00036569512348363464,-3.6102594979788515e-06,-0.3286090781737073
159,wide_TT_29,2075.5,0.0003115176713018445,6.834848999409923e-06,0.0003171745592547716,-5.656887952927103e-06,-0.8276536838510233
160,wide_TT_30,2175.5,0.0002136398612435733,5.352836585397656e-06,0.0002086847119669767,4.9551492765966e-06,0.925705314844482
161,wide_TT_31,2275.5,0.0001394248970629633,4.423984686311432e-06,0.00014375533929963287,-4.330442236669574e-06,-0.978855611790137
162,wide_TT_32,2375.5,0.0001224543385529614,3.891500944929828e-06,0.00011883438502853082,3.6199535244305905e-06,0.9302203894224844
163,wide_TT_33,2475.5,8.240116133736592e-05,3.304359962084128e-06,8.633041432823089e-05,-3.929252990864961e-06,-1.1891116694159132
164,wide_TT_34,2625.5,5.832636096924034e-05,2.06332656830182e-06,5.6931824908081575e-05,1.3945360611587672e-06,0.6758678352629911
165,wide_TT_35,2825.5,3.34891208641784e-05,1.614552865348335e-06,3.142438593010923e-05,2.0647349340691676e-06,1.2788277041790805
166,wide_TT_36,3025.5,1.63796360538754e-05,1.413756195663188e-06,1.7810495563922852e-05,-1.4308595100474533e-06,-1.0120977820905268
167,wide_TT_37,3325.5,8.049152957022443e-06,9.191021562650626e-07,7.981448442053337e-06,6.770451496910677e-08,0.07366375381408774
168,wide_TT_38,3725.5,1.27093217837785e-06,7.758565397332348e-07,2.653599242911942e-06,-1.3826670645340918e-06,-1.7821169168845294
169,wide_TT_39,4125.5,-4.342865794823653e-07,7.106449669945043e-07,9.688944974039322e-07,-1.4031810768862975e-06,-1.974517715675525
170,wide_TE_00,350.5,0.004410521008926443,0.0004214459185167423,0.004621859179068688,-0.00021133817014224506,-0.5014597623487235
171,wide_TE_01,400.5,-0.0003408874960105346,0.0002639566552242081,-1.3460603452638941e-05,-0.00032742689255789567,-1.240457045039365
172,wide_TE_02,450.5,-0.002264800367373973,0.0002070559557582695,-0.002128858170203684,-0.00013594219717028878,-0.6565481136364727
173,wide_TE_03,500.5,-0.001316660365826392,0.0001449544699278337,-0.00146871292153137,0.00015205255570497787,1.0489676915839712
174,wide_TE_04,550.5,3.549626933068608e-05,0.0001216412300842133,1.4720714035510609e-05,2.0775555295175466e-05,0.17079369618995438
175,wide_TE_05,600.5,0.0004760332924562317,8.694487796536608e-05,0.0005022928768467876,-2.625958439055585e-05,-0.30202566275400583
176,wide_TE_06,650.5,-0.0004219476779782781,7.858257794824738e-05,-0.0002563992210813487,-0.00016554845689692942,-2.1066814199701582
177,wide_TE_07,700.5,-0.001326476968884235,7.13504114012971e-05,-0.001259262789378049,-6.721417950618608e-05,-0.942029319608999
178,wide_TE_08,750.5,-0.001526465348035563,5.835823016796999e-05,-0.0015037388711802678,-2.272647685529509e-05,-0.38943053601664146
179,wide_TE_09,800.5,-0.0008967194124875823,4.475359181540047e-05,-0.0008683573278776216,-2.836208460996073e-05,-0.6337387337970236
180,wide_TE_10,850.5,4.447151458634174e-05,3.764782857325415e-05,5.408321113743738e-06,3.9063193472598004e-05,1.0375948614563486
181,wide_TE_11,900.5,0.0004616173647576943,3.381285779566989e-05,0.00043777095721319356,2.3846407544500753e-05,0.7052467344997544
182,wide_TE_12,950.5,0.0002556293416873086,2.921330911198606e-05,0.000268311681218268,-1.2682339530959417e-05,-0.43412882403506703
183,wide_TE_13,1000.5,-0.0001841410018986789,2.571840465484101e-05,-0.00016080975544356506,-2.3331246455113856e-05,-0.9071809378628073
184,wide_TE_14,1050.5,-0.0004127076274262799,2.198512615026112e-05,-0.0004220848713568886,9.377243930608705e-06,0.42652672841257866
185,wide_TE_15,1100.5,-0.0003673776629810163,1.827156157879881e-05,-0.0003626333971458053,-4.744265835210989e-06,-0.2596530030972252
186,wide_TE_16,1150.5,-0.0001239509643312522,1.555504860235428e-05,-0.00013730077086259872,1.3349806531346521e-05,0.8582298180235841
187,wide_TE_17,1200.5,4.038949439518455e-06,1.441827224024308e-05,1.5227338022000805e-05,-1.1188388582482349e-05,-0.7759867753956158
188,wide_TE_18,1250.5,-6.593342291008381e-06,1.320479211089629e-05,-6.217140664781634e-06,-3.76201626226747e-07,-0.02848978030606889
