Z,symbol,symbol_match_cr119,name_match_cr119,particle_expected_cr119,particle_observed_hh001,particle_match_cr119,element_expected_cr119,element_observed_hh001,element_match_cr119,gravity_expected_cr119_qA,gravity_observed_hh001,gravity_match_cr119,graviton_expected_cr119_qA_over_8,graviton_observed_hh001,graviton_match_cr119,gravity_over_8_match,courtroom_backed_row_pass,known_label_status,known_label_used_as_construction_input
64,Gd,True,True,218,218,True,64,64,True,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4747.916667,True,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,593.489583,True,True,True,KNOWN_Z_DOWNSTREAM,no
65,Tb,True,True,222,222,True,65,65,True,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4822.177083,True,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,602.772135,True,True,True,KNOWN_Z_DOWNSTREAM,no
66,Dy,True,True,225,225,True,66,66,True,4896.312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4896.312500,True,612.0390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,612.039062,True,True,True,KNOWN_Z_DOWNSTREAM,no
67,Ho,True,True,228,228,True,67,67,True,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4970.447917,True,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,621.305990,True,True,True,KNOWN_Z_DOWNSTREAM,no
68,Er,True,True,232,232,True,68,68,True,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,5044.708333,True,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,630.588542,True,True,True,KNOWN_Z_DOWNSTREAM,no
69,Tm,True,True,235,235,True,69,69,True,5118.843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5118.843750,True,639.8554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,639.855469,True,True,True,KNOWN_Z_DOWNSTREAM,no
70,Yb,True,True,239,239,True,70,70,True,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5193.104167,True,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,649.138021,True,True,True,KNOWN_Z_DOWNSTREAM,no
71,Lu,True,True,242,242,True,71,71,True,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5267.239583,True,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,658.404948,True,True,True,KNOWN_Z_DOWNSTREAM,no
72,Hf,True,True,246,246,True,72,72,True,5341.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5341.500000,True,667.6874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,667.687500,True,True,True,KNOWN_Z_DOWNSTREAM,no
73,Ta,True,True,255,255,True,73,73,True,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5416.385417,True,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,677.048177,True,True,True,KNOWN_Z_DOWNSTREAM,no
74,W,True,True,259,259,True,74,74,True,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5490.645833,True,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,686.330729,True,True,True,KNOWN_Z_DOWNSTREAM,no
75,Re,True,True,262,262,True,75,75,True,5564.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5564.781250,True,695.5976562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,695.597656,True,True,True,KNOWN_Z_DOWNSTREAM,no
76,Os,True,True,266,266,True,76,76,True,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5639.041667,True,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,704.880208,True,True,True,KNOWN_Z_DOWNSTREAM,no
77,Ir,True,True,269,269,True,77,77,True,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5713.177083,True,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,714.147135,True,True,True,KNOWN_Z_DOWNSTREAM,no
78,Pt,True,True,273,273,True,78,78,True,5787.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5787.437500,True,723.4296874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,723.429688,True,True,True,KNOWN_Z_DOWNSTREAM,no
79,Au,True,True,276,276,True,79,79,True,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5861.572917,True,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,732.696615,True,True,True,KNOWN_Z_DOWNSTREAM,no
80,Hg,True,True,280,280,True,80,80,True,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5935.833333,True,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,741.979167,True,True,True,KNOWN_Z_DOWNSTREAM,no
81,Tl,True,True,283,283,True,81,81,True,6009.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6009.968750,True,751.2460937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,751.246094,True,True,True,KNOWN_Z_DOWNSTREAM,no
82,Pb,True,True,287,287,True,82,82,True,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6084.229167,True,760.528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,760.528646,True,True,True,KNOWN_Z_DOWNSTREAM,no
83,Bi,True,True,290,290,True,83,83,True,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6158.364583,True,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,769.795573,True,True,True,KNOWN_Z_DOWNSTREAM,no
84,Po,True,True,294,294,True,84,84,True,6232.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6232.625000,True,779.0781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,779.078125,True,True,True,KNOWN_Z_DOWNSTREAM,no
85,At,True,True,304,304,True,85,85,True,6307.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6307.635417,True,788.454427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,788.454427,True,True,True,KNOWN_Z_DOWNSTREAM,no
86,Rn,True,True,308,308,True,86,86,True,6381.895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,6381.895833,True,797.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,797.736979,True,True,True,KNOWN_Z_DOWNSTREAM,no
