sob_id,Z,N,A,prediction_clock,reference_clock,clock_match,known_symbol,known_name,revealed_isotope_anchor,atomic_mass_u_reveal,matter_label,name_symbol_reveal_status,atomic_mass_reveal_status,reveal_source,prediction_hash_basis
SOB76,76,114,190,stable,stable,True,Os,Osmium,Os-190,189.958445,Matter 189.958,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB77,77,115,192,stable,stable,True,Ir,Iridium,Ir-192,191.962602,Matter 191.963,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB78,78,117,195,stable,stable,True,Pt,Platinum,Pt-195,194.964794,Matter 194.965,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB79,79,118,197,stable,stable,True,Au,Gold,Au-197,196.966570,Matter 196.967,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB80,80,120,200,stable,stable,True,Hg,Mercury,Hg-200,199.968327,Matter 199.968,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB81,81,121,202,stable,stable,True,Tl,Thallium,Tl-202,201.972109,Matter 201.972,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB82,82,123,205,stable,stable,True,Pb,Lead,Pb-205,204.974482,Matter 204.974,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB83,83,124,207,stable,stable,True,Bi,Bismuth,Bi-207,206.978471,Matter 206.978,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB84,84,126,210,radioactive,radioactive,True,Po,Polonium,Po-210,209.982874,Matter 209.983,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB85,85,134,219,radioactive,radioactive,True,At,Astatine,At-219,219.011161,Matter 219.011,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB86,86,136,222,radioactive,radioactive,True,Rn,Radon,Rn-222,222.017576,Matter 222.018,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB87,87,137,224,radioactive,radioactive,True,Fr,Francium,Fr-224,224.023348,Matter 224.023,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB88,88,139,227,radioactive,radioactive,True,Ra,Radium,Ra-227,227.029176,Matter 227.029,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB89,89,140,229,radioactive,radioactive,True,Ac,Actinium,Ac-229,229.032947,Matter 229.033,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB90,90,142,232,radioactive,radioactive,True,Th,Thorium,Th-232,232.038054,Matter 232.038,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB91,91,144,235,radioactive,radioactive,True,Pa,Protactinium,Pa-235,235.045399,Matter 235.045,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB92,92,145,237,radioactive,radioactive,True,U,Uranium,U-237,237.048728,Matter 237.049,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB93,93,147,240,radioactive,radioactive,True,Np,Neptunium,Np-240,240.056164,Matter 240.056,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB94,94,148,242,radioactive,radioactive,True,Pu,Plutonium,Pu-242,242.058741,Matter 242.059,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB95,95,150,245,radioactive,radioactive,True,Am,Americium,Am-245,245.066453,Matter 245.066,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB96,96,152,248,radioactive,radioactive,True,Cm,Curium,Cm-248,248.072349,Matter 248.072,REVEALED,REVEALED_QP061,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB97,97,161,258,radioactive,radioactive,True,Bk,Berkelium,Bk-258,,Matter A=258,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB98,98,163,261,radioactive,radioactive,True,Cf,Californium,Cf-261,,Matter A=261,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
SOB99,99,165,264,radioactive,radioactive,True,Es,Einsteinium,Es-264,,Matter A=264,REVEALED,NO_MATCHING_MASS_REVEAL,CR119/CR220/QP061_AFTER_PREDICTION_SEAL,CR226_prediction_seal
