scenario_id,seed,door,anchor,p_level,geometry,group,carrier_count,quadrupole_change_norm,peak_source_norm,power_proxy,power_per_carrier,incoherent_power_expectation,coherence_gain,qnm_response_peak,trace_relative_error,all_carrier_coarse_power,all_carrier_coarse_response,power_convergence_relative_error,response_convergence_relative_error
REF_0157,910004,final,middle_drive,2,localized_ledger_cells,dual,35,15.628188115288737,9.495616511585974,1.6258304506018637,0.04645229858862468,1.6269055580701677,0.9993391703267771,4.287486915562589,7.722382420296574e-16,,,,
REF_0158,910004,final,middle_drive,2,dispersed_slots,all_carriers,594,9.329668318763204,7.555896317109183,15.325623918751955,0.025800713667932584,39.26979841091201,0.390264899207972,3.0267742726775753,8.879817126812849e-16,15.076421740280416,3.035266856496177,0.016260491565803226,0.0028058200095275212
REF_0158,910004,final,middle_drive,2,dispersed_slots,escape_only,553,9.12581962860333,7.19348062598751,11.383544023780257,0.020585070567414567,31.979435732434304,0.3559645054097936,3.146282509129394,2.2793109339041387e-15,,,,
REF_0158,910004,final,middle_drive,2,dispersed_slots,return_only,1,1.5385373773553566,1.0941629725208373,0.052442293946163496,0.052442293946163496,0.052442293946163496,1.0,0.5028073998600866,3.8435529613798166e-16,,,,
REF_0158,910004,final,middle_drive,2,dispersed_slots,dual,1,0.08503543346981739,0.09064192663095838,1.3039893648191136e-06,1.3039893648191136e-06,1.3039893648191136e-06,1.0,0.04235351189249585,2.7755575615628914e-17,,,,
REF_0159,910004,final,middle_drive,3,localized_ledger_cells,all_carriers,1008,101.76467814608434,79.5030150067876,51.54952096731931,0.051140397785038996,34.51828693607723,1.4933974291013168,36.735640399699776,7.052269283033774e-16,50.42578951127172,36.84517961403206,0.021799066896470334,0.0029818240036229796
REF_0159,910004,final,middle_drive,3,localized_ledger_cells,escape_only,968,87.80938452416454,71.45289933983625,41.054272981775675,0.042411439030759994,31.508739543485678,1.3029487556973223,33.075326090957915,6.832864257380382e-16,,,,
REF_0159,910004,final,middle_drive,3,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0159,910004,final,middle_drive,3,localized_ledger_cells,dual,40,16.62984350479861,10.946659890866318,2.613378252192012,0.06533445630480031,3.009547392591557,0.8683625513342061,5.099228690283447,5.2771025216517105e-16,,,,
REF_0160,910004,final,middle_drive,3,dispersed_slots,all_carriers,1008,8.882961274654956,7.187609340781303,36.90988517770113,0.03661694958105271,53.92200172497247,0.6845050999026125,3.152181177357581,1.7129981053617556e-15,36.185718277909444,3.1615490617101645,0.019619863250866575,0.002971873704428444
REF_0160,910004,final,middle_drive,3,dispersed_slots,escape_only,956,10.02371150937809,8.040829312152425,34.131867223893586,0.03570278998315229,49.048782415672,0.6958759329566521,3.3611856807561544,1.4611599483229106e-15,,,,
REF_0160,910004,final,middle_drive,3,dispersed_slots,return_only,0,,,,,,,,,,,,
REF_0160,910004,final,middle_drive,3,dispersed_slots,dual,12,0.5946777029217665,0.6955511364580009,0.029511055409817133,0.002459254617484761,0.08393023307675265,0.3516141243505164,0.3223816127405003,1.8041124150158794e-16,,,,
REF_0257,910001,discovery,high_drive,0,localized_ledger_cells,all_carriers,252,92.7409699028278,74.58340113056364,412.4024811507978,1.636517782344436,61.05563753366255,6.7545356630405005,33.297580788507716,9.629472923687563e-16,403.56141228091883,33.40013057027555,0.021437962364358805,0.003079796770197436
REF_0257,910001,discovery,high_drive,0,localized_ledger_cells,escape_only,230,79.41715955553624,65.81969115143252,316.25578384809444,1.375025147165628,57.364210342526974,5.5131201486031465,29.297195112080605,1.2177497368815908e-15,,,,
REF_0257,910001,discovery,high_drive,0,localized_ledger_cells,return_only,0,,,,,,,,,,,,
REF_0257,910001,discovery,high_drive,0,localized_ledger_cells,dual,22,17.351707650929402,12.676330899988043,9.804375423417515,0.44565342833715976,3.691427191135567,2.655985047453006,5.853542122711219,4.089499602860947e-16,,,,
REF_0258,910001,discovery,high_drive,0,dispersed_slots,all_carriers,252,20.379462127236902,17.333732179405125,105.87666073491579,0.42014547910680866,78.61389819127473,1.346793164706173,7.579077661131842,6.366563777709515e-16,103.81301506678717,7.602587783087794,0.01949103469833999,0.0031019766529799438
REF_0258,910001,discovery,high_drive,0,dispersed_slots,escape_only,213,28.53269827896952,24.679594881974754,54.76300214625899,0.2571032964613098,67.26091616777869,0.8141875738007444,11.341087305637206,7.875320033330205e-16,,,,
REF_0258,910001,discovery,high_drive,0,dispersed_slots,return_only,2,2.323129802005424,2.061897504544705,0.22504871905684953,0.11252435952842477,0.14068646048378258,1.5996473170408014,0.8839589325261255,4.526771035527793e-16,,,,
REF_0258,910001,discovery,high_drive,0,dispersed_slots,dual,0,,,,,,,,,,,,
REF_0259,910001,discovery,high_drive,1,localized_ledger_cells,all_carriers,378,121.46239820950814,97.32342398052579,649.4127064952146,1.7180230330561232,73.13004116324178,8.88024532962572,44.231157403326264,9.142305692958838e-16,636.4508466586265,44.36492721925205,0.019959356672494745,0.003024334513926343
