ell,Dl_TT_SAM,Dl_TE_SAM,Dl_EE_SAM
425,1.764327e+03,-4.350084e+01,1.979485e+01
426,1.769277e+03,-4.489232e+01,1.967918e+01
427,1.774499e+03,-4.625661e+01,1.956050e+01
428,1.780008e+03,-4.759329e+01,1.943891e+01
429,1.785775e+03,-4.890199e+01,1.931439e+01
430,1.791799e+03,-5.018217e+01,1.918703e+01
431,1.798081e+03,-5.143354e+01,1.905704e+01
432,1.804606e+03,-5.265569e+01,1.892437e+01
433,1.811380e+03,-5.384804e+01,1.878907e+01
434,1.818382e+03,-5.501032e+01,1.865131e+01
435,1.825619e+03,-5.614197e+01,1.851101e+01
436,1.833084e+03,-5.724264e+01,1.836831e+01
437,1.840768e+03,-5.831191e+01,1.822323e+01
438,1.848666e+03,-5.934935e+01,1.807590e+01
439,1.856776e+03,-6.035455e+01,1.792634e+01
440,1.865084e+03,-6.132730e+01,1.777462e+01
441,1.873583e+03,-6.226727e+01,1.762088e+01
442,1.882257e+03,-6.317417e+01,1.746513e+01
443,1.891107e+03,-6.404759e+01,1.730751e+01
444,1.900117e+03,-6.488733e+01,1.714811e+01
445,1.909281e+03,-6.569310e+01,1.698692e+01
446,1.918591e+03,-6.646465e+01,1.682417e+01
447,1.928040e+03,-6.720199e+01,1.665986e+01
448,1.937634e+03,-6.790492e+01,1.649413e+01
449,1.947360e+03,-6.857331e+01,1.632706e+01
450,1.957210e+03,-6.920713e+01,1.615866e+01
451,1.967184e+03,-6.980623e+01,1.598914e+01
452,1.977281e+03,-7.037042e+01,1.581850e+01
453,1.987481e+03,-7.089959e+01,1.564690e+01
454,1.997783e+03,-7.139353e+01,1.547440e+01
455,2.008172e+03,-7.185213e+01,1.530108e+01
456,2.018641e+03,-7.227519e+01,1.512702e+01
457,2.029184e+03,-7.266259e+01,1.495228e+01
458,2.039784e+03,-7.301407e+01,1.477701e+01
459,2.050428e+03,-7.332971e+01,1.460129e+01
460,2.061131e+03,-7.360962e+01,1.442519e+01
461,2.071862e+03,-7.385308e+01,1.424878e+01
462,2.082645e+03,-7.406235e+01,1.407228e+01
463,2.093450e+03,-7.423596e+01,1.389577e+01
464,2.104300e+03,-7.437469e+01,1.371932e+01
465,2.115164e+03,-7.447855e+01,1.354308e+01
466,2.126058e+03,-7.454832e+01,1.336712e+01
467,2.136967e+03,-7.458327e+01,1.319158e+01
468,2.147877e+03,-7.458417e+01,1.301654e+01
469,2.158788e+03,-7.455104e+01,1.284208e+01
470,2.169684e+03,-7.448390e+01,1.266826e+01
471,2.180552e+03,-7.438204e+01,1.249522e+01
472,2.191391e+03,-7.424696e+01,1.232313e+01
473,2.202188e+03,-7.407719e+01,1.215197e+01
474,2.212941e+03,-7.387498e+01,1.198182e+01
475,2.223644e+03,-7.363887e+01,1.181290e+01
476,2.234296e+03,-7.336962e+01,1.164528e+01
477,2.244884e+03,-7.306800e+01,1.147895e+01
478,2.255415e+03,-7.273401e+01,1.131415e+01
479,2.265889e+03,-7.236871e+01,1.115094e+01
480,2.276283e+03,-7.197154e+01,1.098946e+01
481,2.286614e+03,-7.154325e+01,1.082965e+01
482,2.296850e+03,-7.108415e+01,1.067179e+01
483,2.307001e+03,-7.059463e+01,1.051589e+01
484,2.317051e+03,-7.007508e+01,1.036208e+01
485,2.326986e+03,-6.952580e+01,1.021045e+01
486,2.336812e+03,-6.894727e+01,1.006106e+01
487,2.346517e+03,-6.833978e+01,9.913983e+00
488,2.356091e+03,-6.770388e+01,9.769442e+00
489,2.365543e+03,-6.704009e+01,9.627359e+00
490,2.374859e+03,-6.634888e+01,9.487955e+00
491,2.384037e+03,-6.563084e+01,9.351301e+00
492,2.393080e+03,-6.488636e+01,9.217395e+00
493,2.401985e+03,-6.411613e+01,9.086382e+00
494,2.410748e+03,-6.332043e+01,8.958407e+00
495,2.419359e+03,-6.250004e+01,8.833544e+00
496,2.427820e+03,-6.165533e+01,8.711788e+00
