ell,Dl_planck,sigma_planck,Dl_SAM_theory,residual,z_score
1476,-2.284718e+01,2.079976e+01,-1.061357e+01,1.223361e+01,0.5882
1477,4.531794e+01,2.080853e+01,-1.007895e+01,-5.539689e+01,-2.6622
1478,8.252985e-01,2.081704e+01,-9.550682e+00,-1.037598e+01,-0.4984
1479,-5.334114e+01,2.082528e+01,-9.028912e+00,4.431222e+01,2.1278
1480,2.369324e+01,2.083326e+01,-8.513848e+00,-3.220709e+01,-1.5459
1481,4.914134e+01,2.084098e+01,-8.005636e+00,-5.714697e+01,-2.7420
1482,1.059656e+01,2.084844e+01,-7.504432e+00,-1.810099e+01,-0.8682
1483,-2.104625e+01,2.085564e+01,-7.010361e+00,1.403589e+01,0.6730
1484,9.067812e+00,2.086260e+01,-6.523579e+00,-1.559139e+01,-0.7473
1485,-4.087685e+01,2.086931e+01,-6.044231e+00,3.483262e+01,1.6691
1486,-5.952149e+01,2.087577e+01,-5.572443e+00,5.394905e+01,2.5843
1487,6.803317e+00,2.088199e+01,-5.108381e+00,-1.191170e+01,-0.5704
1488,-1.359160e+01,2.088798e+01,-4.652169e+00,8.939427e+00,0.4280
1489,-2.733122e+01,2.089372e+01,-4.203945e+00,2.312728e+01,1.1069
