isotope_closure_id,element_closure_id,Z,N,A,proton_count,neutron_count,electron_count,total_particle_count,quark_u_count,quark_d_count,quark_e_count,P_address,quark_address,radix_cycle,radix_slot,shell_period,shell_n,shell_capacity,shell_occupancy,shell_status,ladder_role,ladder_weight,selected_depth_index,residual_twelfths,constant_native_lane,G_fraction,G_decimal,GR_fraction,GR_decimal,retained_7G_fraction,retained_7G_decimal,construction_source
CR222-IZ022N024-CEIL_NEIGHBOR,CR222-EZ022,22,24,46,22,24,22,68,68,70,22,22p+24n+22e,68u+70d+22e,2,10,3,3,18,12,OPEN_SHELL,CEIL_NEIGHBOR,5/6,1,10,CONSTANT_BOUND_LADDER_LANE,78299/384,203.9036458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,78299/48,1631.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,548093/384,1427.325520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ023N024-FLOOR_PRIMARY,CR222-EZ023,23,24,47,23,24,23,70,70,71,23,23p+24n+23e,70u+71d+23e,2,11,3,3,18,13,OPEN_SHELL,FLOOR_PRIMARY,1/12,1,11,CONSTANT_BOUND_LADDER_LANE,163703/768,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,163703/96,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1145921/768,1492.084635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ023N025-CEIL_NEIGHBOR,CR222-EZ023,23,25,48,23,25,23,71,71,73,23,23p+25n+23e,71u+73d+23e,2,11,3,3,18,13,OPEN_SHELL,CEIL_NEIGHBOR,11/12,1,11,CONSTANT_BOUND_LADDER_LANE,163715/768,213.1705729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,163715/96,1705.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1146005/768,1492.194010416666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ024N026-FLOOR_PRIMARY,CR222-EZ024,24,26,50,24,26,24,74,74,76,24,24p+26n+24e,74u+76d+24e,2,12,3,3,18,14,OPEN_SHELL,FLOOR_PRIMARY,1,1,0,CONSTANT_STABLE_ANCHOR_LANE,3559/16,222.4375,3559/2,1779.5,24913/16,1557.0625,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ025N029-FLOOR_PRIMARY,CR222-EZ025,25,29,54,25,29,25,79,79,83,25,25p+29n+25e,79u+83d+25e,3,1,3,3,18,15,OPEN_SHELL,FLOOR_PRIMARY,5/6,2,2,CONSTANT_BOUND_LADDER_LANE,177973/768,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,177973/96,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1245811/768,1622.149739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ025N030-CEIL_NEIGHBOR,CR222-EZ025,25,30,55,25,30,25,80,80,85,25,25p+30n+25e,80u+85d+25e,3,1,3,3,18,15,OPEN_SHELL,CEIL_NEIGHBOR,1/6,2,2,CONSTANT_BOUND_LADDER_LANE,177985/768,231.7513020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,177985/96,1854.010416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1245895/768,1622.259114583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ026N030-FLOOR_PRIMARY,CR222-EZ026,26,30,56,26,30,26,82,82,86,26,26p+30n+26e,82u+86d+26e,3,2,3,3,18,16,OPEN_SHELL,FLOOR_PRIMARY,2/3,2,4,CONSTANT_BOUND_LADDER_LANE,92545/384,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,92545/48,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,647815/384,1687.018229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ026N031-CEIL_NEIGHBOR,CR222-EZ026,26,31,57,26,31,26,83,83,88,26,26p+31n+26e,83u+88d+26e,3,2,3,3,18,16,OPEN_SHELL,CEIL_NEIGHBOR,1/3,2,4,CONSTANT_BOUND_LADDER_LANE,92551/384,241.0182291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,92551/48,1928.145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,647857/384,1687.127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ027N031-FLOOR_PRIMARY,CR222-EZ027,27,31,58,27,31,27,85,85,89,27,27p+31n+27e,85u+89d+27e,3,3,3,3,18,17,OPEN_SHELL,FLOOR_PRIMARY,1/2,2,6,CONSTANT_HALF_WRITE_LANE,64069/256,250.26953125,64069/32,2002.15625,448483/256,1751.88671875,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ027N032-CEIL_NEIGHBOR,CR222-EZ027,27,32,59,27,32,27,86,86,91,27,27p+32n+27e,86u+91d+27e,3,3,3,3,18,17,OPEN_SHELL,CEIL_NEIGHBOR,1/2,2,6,CONSTANT_HALF_WRITE_LANE,64073/256,250.28515625,64073/32,2002.28125,448511/256,1751.99609375,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ028N032-FLOOR_PRIMARY,CR222-EZ028,28,32,60,28,32,28,88,88,92,28,28p+32n+28e,88u+92d+28e,3,4,3,3,18,18,CLOSED_SHELL,FLOOR_PRIMARY,1/3,2,8,CONSTANT_BOUND_LADDER_LANE,49831/192,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,49831/24,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,348817/192,1816.755208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ028N033-CEIL_NEIGHBOR,CR222-EZ028,28,33,61,28,33,28,89,89,94,28,28p+33n+28e,89u+94d+28e,3,4,3,3,18,18,CLOSED_SHELL,CEIL_NEIGHBOR,2/3,2,8,CONSTANT_BOUND_LADDER_LANE,24917/96,259.5520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,24917/12,2076.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,174419/96,1816.864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
CR222-IZ029N033-FLOOR_PRIMARY,CR222-EZ029,29,33,62,29,33,29,91,91,95,29,29p+33n+29e,91u+95d+29e,3,5,4,4,32,1,OPEN_SHELL,FLOOR_PRIMARY,1/6,2,10,CONSTANT_BOUND_LADDER_LANE,206441/768,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,206441/96,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1445087/768,1881.623697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_CONSTANTS_ONLY_NO_CARDS_NO_LABELS
