Z,generated_element_closure_id,cr220_element_closure_id,cr119_element_closure_id,all_compared_fields_match,failed_fields,G_generated,G_CR220,G_CR119,GR_generated,GR_CR220,GR_CR119,construction_role
60,CR222-EZ060,CR220-EZ060,QP094A-EZ060,True,,556.328125,556.3281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,556.3281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4450.625,4450.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4450.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
61,CR222-EZ061,CR220-EZ061,QP094A-EZ061,True,,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
62,CR222-EZ062,CR220-EZ062,QP094A-EZ062,True,,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
63,CR222-EZ063,CR220-EZ063,QP094A-EZ063,True,,584.22265625,584.2226562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,584.2226562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4673.78125,4673.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4673.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
64,CR222-EZ064,CR220-EZ064,QP094A-EZ064,True,,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
65,CR222-EZ065,CR220-EZ065,QP094A-EZ065,True,,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
66,CR222-EZ066,CR220-EZ066,QP094A-EZ066,True,,612.0390625,612.0390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,612.0390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4896.3125,4896.312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4896.312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
67,CR222-EZ067,CR220-EZ067,QP094A-EZ067,True,,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,generated_first_from_constants_then_compared
68,CR222-EZ068,CR220-EZ068,QP094A-EZ068,True,,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,generated_first_from_constants_then_compared
69,CR222-EZ069,CR220-EZ069,QP094A-EZ069,True,,639.85546875,639.8554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,639.8554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5118.84375,5118.843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5118.843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,generated_first_from_constants_then_compared
