scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_matter_relations,history_100_relations,history_010_relations,history_110_relations,history_101_relations,carriers_with_precollapse_escape,carriers_with_postcollapse_escape,carriers_with_101_closure,dual_postcollapse_carriers,escape_before_closure_count,escape_before_closure_fraction,median_margin,closure_front_q10,closure_front_q50,closure_front_q90,post_escape_before_closure_q10_fraction,post_escape_before_closure_q50_fraction,post_escape_before_closure_q90_fraction
REF_0150,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,2,dispersed_slots,5346,33,validation,53278,132,46046,5335,7,95,551,7,6,6,1.0,0.1120057195710289,1.0115790798023176,1.1367059401867279,1.408644595399993,0.5553539019963702,0.8421052631578947,0.9473684210526315
REF_0151,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,localized_ledger_cells,9072,56,validation,404794,1642,255344,122741,120,85,1008,41,41,28,0.6829268292682927,0.024780192483787156,1.0047908432583956,1.040569296413502,1.130425712384048,0.5595238095238095,0.7291666666666666,0.8948412698412699
REF_0152,REFERENCE_MIDDLE_DRIVE,middle_drive,910003,3,dispersed_slots,9072,56,validation,249463,212,217720,24960,18,153,962,18,16,15,0.9375,0.04127277730845991,1.0115238047353818,1.0446736035579491,1.4751373866680078,0.7068607068607069,0.7869022869022869,0.9823284823284824
REF_0153,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,localized_ledger_cells,2268,14,final,31376,1125,4001,22434,75,74,252,30,30,24,0.8,0.04683084377902502,1.0110518176586647,1.0826238673696233,1.1526562098691748,0.30952380952380953,0.5793650793650794,0.8134920634920635
REF_0154,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,0,dispersed_slots,2268,14,final,2230,20,1719,367,0,20,210,0,0,0,,,,,,,,
REF_0155,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,localized_ledger_cells,3402,21,final,51184,1339,10484,33131,127,81,378,38,38,31,0.8157894736842105,0.026091714881454786,1.0100575598435582,1.0430153225623129,1.1322036472564403,0.37037037037037035,0.4973544973544973,0.7857142857142857
REF_0156,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,1,dispersed_slots,3402,21,final,11453,36,9545,1457,1,34,333,1,0,0,,,1.0796529712930505,1.0796529712930505,1.0796529712930505,0.6756756756756757,0.6756756756756757,0.6756756756756757
REF_0157,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,localized_ledger_cells,5346,33,final,133535,1294,64235,56808,126,83,594,35,35,28,0.8,0.029925498270074735,1.0110564641276083,1.049158316193577,1.1392654521205285,0.5151515151515151,0.6447811447811448,0.8754208754208754
REF_0158,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,2,dispersed_slots,5346,33,final,53998,68,46613,5419,2,61,554,2,1,1,1.0,0.13093970044429115,1.0937821116780073,1.1103970532181133,1.1270119947582196,0.7906137184115524,0.8086642599277978,0.8339350180505415
REF_0159,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,localized_ledger_cells,9072,56,final,446728,1517,296434,122151,103,115,1008,40,40,32,0.8,0.047798411159688414,1.0108145035678668,1.0585486515673823,1.2583888801955974,0.7251984126984127,0.8432539682539683,0.9970238095238095
REF_0160,REFERENCE_MIDDLE_DRIVE,middle_drive,910004,3,dispersed_slots,9072,56,final,250103,127,218343,25143,13,117,968,12,12,12,1.0,0.1588007226060012,1.030028873990326,1.1592473791007412,1.8109060078298795,0.7541322314049587,0.890495867768595,0.9958677685950413
REF_0257,REFERENCE_HIGH_DRIVE,high_drive,910001,0,localized_ledger_cells,2268,14,discovery,30674,986,3446,23496,60,62,252,22,22,17,0.7727272727272727,0.05410164462351219,1.0247530329413637,1.0860737496337807,1.2537788745111536,0.28174603174603174,0.5793650793650794,1.0
REF_0258,REFERENCE_HIGH_DRIVE,high_drive,910001,0,dispersed_slots,2268,14,discovery,2282,30,1747,454,2,26,213,2,0,0,,,1.1277414636419494,1.2155701932412224,1.3033989228404954,0.704225352112676,0.8544600938967136,0.9483568075117371
REF_0259,REFERENCE_HIGH_DRIVE,high_drive,910001,1,localized_ledger_cells,3402,21,discovery,53146,1278,12621,35402,94,73,378,39,39,30,0.7692307692307693,0.028559729959357183,1.0145944359480972,1.052576627291527,1.2208712661790873,0.3968253968253968,0.5582010582010583,0.9947089947089947
REF_0260,REFERENCE_HIGH_DRIVE,high_drive,910001,1,dispersed_slots,3402,21,discovery,11804,63,9886,1660,2,51,339,2,2,1,0.5,0.07650493736248232,1.1869223763019656,1.1954320453278804,1.2039417143537952,0.8761061946902655,0.8849557522123894,0.887905604719764
REF_0261,REFERENCE_HIGH_DRIVE,high_drive,910001,2,localized_ledger_cells,5346,33,discovery,123467,1277,54032,61903,58,84,594,26,26,19,0.7307692307692307,0.04145765557590175,1.0152116893464318,1.0581183357007626,1.154873385941713,0.494949494949495,0.664983164983165,0.9461279461279462
REF_0262,REFERENCE_HIGH_DRIVE,high_drive,910001,2,dispersed_slots,5346,33,discovery,53851,115,47054,5875,2,78,559,2,2,1,0.5,0.3720645037909738,1.2691801861822065,1.4858968083978539,1.7026134306135015,0.9320214669051878,0.9731663685152058,0.9910554561717353
REF_0263,REFERENCE_HIGH_DRIVE,high_drive,910001,3,localized_ledger_cells,9072,56,discovery,415564,4081,269579,128703,159,171,1008,63,63,52,0.8253968253968254,0.08407755837399167,1.0052283143825371,1.0986652244432564,1.5451131613274047,0.625,0.8799603174603174,1.0
REF_0264,REFERENCE_HIGH_DRIVE,high_drive,910001,3,dispersed_slots,9072,56,discovery,249377,203,219428,26814,17,134,968,17,16,15,0.9375,0.0659170225844119,1.0121881841424067,1.0927361725100193,1.619724944854434,0.7231404958677686,0.8543388429752066,0.9896694214876033
REF_0265,REFERENCE_HIGH_DRIVE,high_drive,910002,0,localized_ledger_cells,2268,14,discovery,30698,935,3673,23955,45,59,252,17,17,15,0.8823529411764706,0.030084922727959595,1.0145824537463692,1.0418936156367873,1.2498033101467398,0.2857142857142857,0.3888888888888889,1.0
