Z,Symbol,N,A,anchor,p,n,e,u,d,G_sub,Q_sub,Q_mass,chi,m_0_baseline_u,GR,retained_7G,released_G,stability,radix_cycle,selected_depth
72,Hf,138,210,Hf-210,72,138,72,282,348,668.25000000,5346.00000000,7784.21875000,0.68677412,210.0000,5346.000000,4677.750000,668.250000,STABLE,12,11
73,Ta,73,146,Ta-146,73,73,73,219,219,676.48567708,5411.88541667,5411.88541667,1.00000000,146.0000,5411.885417,4735.399740,676.485677,STABLE,1,0
74,W,80,154,W-154,74,80,74,228,234,685.84635417,5486.77083333,5708.42708333,0.96117035,154.0000,5486.770833,4800.924479,685.846354,STABLE,2,1
75,Re,87,162,Re-162,75,87,75,237,249,695.20703125,5561.65625000,6004.96875000,0.92617572,162.0000,5561.656250,4866.449219,695.207031,STABLE,3,2
76,Os,95,171,Os-171,76,95,76,247,266,704.58333333,5636.66666667,6338.57812500,0.88926358,171.0000,5636.666667,4932.083333,704.583333,STABLE,4,3
77,Ir,102,179,Ir-179,77,102,77,256,281,713.94401042,5711.55208333,6635.11979167,0.86080617,179.0000,5711.552083,4997.608073,713.944010,STABLE,5,4
78,Pt,110,188,Pt-188,78,110,78,266,298,723.32031250,5786.56250000,6968.72916667,0.83036123,188.0000,5786.562500,5063.242188,723.320312,STABLE,6,5
79,Au,118,197,Au-197,79,118,79,276,315,732.69661458,5861.57291667,7302.33854167,0.80269805,197.0000,5861.572917,5128.876302,732.696615,STABLE,7,6
80,Hg,126,206,Hg-206,80,126,80,286,332,742.07291667,5936.58333333,7635.94791667,0.77745205,206.0000,5936.583333,5194.510417,742.072917,STABLE,8,7
81,Tl,135,216,Tl-216,81,135,81,297,351,751.46484375,6011.71875000,8006.62500000,0.75084305,216.0000,6011.718750,5260.253906,751.464844,STABLE,9,8
82,Pb,143,225,Pb-225,82,143,82,307,368,760.84114583,6086.72916667,8340.23437500,0.72980313,225.0000,6086.729167,5325.888021,760.841146,STABLE,10,9
83,Bi,152,235,Bi-235,83,152,83,318,387,770.23307292,6161.86458333,8710.91145833,0.70737312,235.0000,6161.864583,5391.631510,770.233073,STABLE,11,10
84,Po,161,245,Po-245,84,161,84,329,406,779.62500000,6237.00000000,9081.58854167,0.68677412,245.0000,6237.000000,5457.375000,779.625000,UNSTABLE,12,11
85,At,85,170,At-170,85,85,85,255,255,787.68880208,6301.51041667,6301.51041667,1.00000000,170.0000,6301.510417,5513.821615,787.688802,UNSTABLE,1,0
86,Rn,93,179,Rn-179,86,93,86,265,272,797.06510417,6376.52083333,6635.11979167,0.96102573,179.0000,6376.520833,5579.455729,797.065104,UNSTABLE,2,1
87,Fr,101,188,Fr-188,87,101,87,275,289,806.44140625,6451.53125000,6968.72916667,0.92578304,188.0000,6451.531250,5645.089844,806.441406,UNSTABLE,3,2
88,Ra,110,198,Ra-198,88,110,88,286,308,815.83333333,6526.66666667,7339.40625000,0.88926358,198.0000,6526.666667,5710.833333,815.833333,UNSTABLE,4,3
89,Ac,118,207,Ac-207,89,118,89,296,325,825.20963542,6601.67708333,7673.01562500,0.86037582,207.0000,6601.677083,5776.467448,825.209635,UNSTABLE,5,4
90,Th,127,217,Th-217,90,127,90,307,344,834.60156250,6676.81250000,8043.69270833,0.83006807,217.0000,6676.812500,5842.210938,834.601562,UNSTABLE,6,5
