Z,symbol,name,N_sob,A_sob,observed_isotope,N_observed,A_observed,delta_N,delta_A,lambda_gcd,primitive_Z,primitive_N,primitive_lane,lane_ratio_NmZ_over_A,chi,p_count,n_count,e_count,u_count,d_count,Q_sub,Q_mass,delta_Q,channel_role,B_u_u,B_u_MeV,B_smooth_MeV,binding_residual_MeV,clock_role,row_status,notes
77,Ir,Iridium,102,179,Ir-193,116,193,-14,-14,1,77,102,"(77,102)",0.13966480446927373,0.8608061742165858,77,102,77,256,281,5711.552083333333,6635.119791666667,923.5677083333339,substrate-light / mass-heavy,0.037078447999988384,34.53835563887582,37.15173071861304,-2.6133750797372173,clock-stable,engine_diff_from_observed,engine anchor Ir-179 differs from observed most-abundant Ir-193
78,Pt,Platinum,110,188,Pt-195,117,195,-7,-7,2,39,55,"(39,55)",0.1702127659574468,0.8303612267899156,78,110,78,266,298,5786.5625,6968.729166666667,1182.166666666667,substrate-light / mass-heavy,0.03520828099999562,32.796306107842064,33.702279286173194,-0.9059731783311307,clock-stable,engine_diff_from_observed,engine anchor Pt-188 differs from observed most-abundant Pt-195
79,Au,Gold,118,197,Au-197,118,197,0,0,1,79,118,"(79,118)",0.19796954314720813,0.8026980512093372,79,118,79,276,315,5861.572916666667,7302.338541666667,1440.765625,substrate-light / mass-heavy,0.03343120499999941,31.140970294293464,30.072170107915724,1.0688001863777394,clock-stable,engine_matches_observed,
80,Hg,Mercury,126,206,Hg-202,122,202,4,4,2,40,63,"(40,63)",0.22330097087378642,0.7774520463105568,80,126,80,286,332,5936.583333333333,7635.947916666667,1699.364583333334,substrate-light / mass-heavy,0.02935698900000716,27.345862118315484,25.017660874027356,2.3282012442881275,clock-stable,engine_diff_from_observed,engine anchor Hg-206 differs from observed most-abundant Hg-202
81,Tl,Thallium,135,216,Tl-205,124,205,11,11,27,3,5,"(3,5)",0.25,0.7508430518476886,81,135,81,297,351,6011.71875,8006.625,1994.90625,substrate-light / mass-heavy,0.025572199000009732,23.820352554419685,20.042846101825546,3.777506452594139,clock-stable,engine_diff_from_observed,engine anchor Tl-216 differs from observed most-abundant Tl-205
82,Pb,Lead,143,225,Pb-208,126,208,17,17,1,82,143,"(82,143)",0.27111111111111114,0.7298031317814935,82,143,82,307,368,6086.729166666667,8340.234375,2253.505208333333,substrate-light / mass-heavy,0.023347994999994626,21.74851964582664,15.911481479084543,5.837038166742097,clock-stable,engine_diff_from_observed,engine anchor Pb-225 differs from observed most-abundant Pb-208
83,Bi,Bismuth,152,235,Bi-209,126,209,26,26,1,83,152,"(83,152)",0.2936170212765957,0.7073731162126045,83,152,83,318,387,6161.864583333333,8710.911458333334,2549.046875000001,substrate-light / mass-heavy,0.01960126599999512,18.258463678961117,12.269210006113013,5.989253672848104,clock-stable,engine_diff_from_observed,engine anchor Bi-235 differs from observed most-abundant Bi-209
84,Po,Polonium,161,245,Po-209,125,209,36,36,7,12,23,"(12,23)",0.3142857142857143,0.6867741223228087,84,161,84,329,406,6237.0,9081.588541666666,2844.588541666666,substrate-light / mass-heavy,0.017569580000014184,16.365960152009595,8.97430106661406,7.391659085395535,clock-boundary,engine_diff_from_observed,engine anchor Po-245 differs from observed most-abundant Po-209
85,At,Astatine,85,170,At-210,125,210,-40,-40,85,1,1,"(1,1)",0.0,1.0,85,85,85,255,255,6301.510416666667,6301.510416666667,0.0,balanced,0.012852576999989651,11.972099676389297,4.114058816485864,7.858040859903433,clock-boundary,engine_diff_from_observed,engine anchor At-170 differs from observed most-abundant At-210
86,Rn,Radon,93,179,Rn-222,136,222,-43,-43,1,86,93,"(86,93)",0.03910614525139665,0.961025728780644,86,93,86,265,272,6376.520833333333,6635.119791666667,258.59895833333394,substrate-light / mass-heavy,-0.017577737999999954,-16.37355928088388,-6.252162172650315,-10.121397108233566,clock-boundary,engine_diff_from_observed,engine anchor Rn-179 differs from observed most-abundant Rn-222
87,Fr,Francium,101,188,Fr-223,136,223,-35,-35,1,87,101,"(87,101)",0.07446808510638298,0.925783036720588,87,101,87,275,289,6451.53125,6968.729166666667,517.197916666667,substrate-light / mass-heavy,-0.01973424100000898,-18.382329107243326,-9.631679023719556,-8.75065008352377,clock-boundary,engine_diff_from_observed,engine anchor Fr-188 differs from observed most-abundant Fr-223
88,Ra,Radium,110,198,Ra-226,138,226,-28,-28,22,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,88,110,88,286,308,6526.666666666667,7339.40625,812.739583333333,substrate-light / mass-heavy,-0.02540982299998973,-23.669100268026504,-14.564755985463172,-9.104344282563332,clock-boundary,engine_diff_from_observed,engine anchor Ra-198 differs from observed most-abundant Ra-226
89,Ac,Actinium,118,207,Ac-227,138,227,-20,-20,1,89,118,"(89,118)",0.14009661835748793,0.8603758164943569,89,118,89,296,325,6601.677083333333,7673.015625,1071.338541666667,substrate-light / mass-heavy,-0.027750526000005493,-25.84945130805799,-18.475287749517122,-7.374163558540868,clock-boundary,engine_diff_from_observed,engine anchor Ac-207 differs from observed most-abundant Ac-227
90,Th,Thorium,127,217,Th-232,142,232,-15,-15,1,90,127,"(90,127)",0.17050691244239632,0.8300680722279167,90,127,90,307,344,6676.8125,8043.692708333333,1366.880208333333,substrate-light / mass-heavy,-0.03805532499998776,-35.448310803164986,-25.747478106888877,-9.700832696276109,clock-boundary,engine_diff_from_observed,engine anchor Th-217 differs from observed most-abundant Th-232
91,Pa,Protactinium,136,227,Pa-231,140,231,-4,-4,1,91,136,"(91,136)",0.19823788546255505,0.8024306137999294,91,136,91,318,363,6751.947916666667,8414.369791666666,1662.421874999999,substrate-light / mass-heavy,-0.03588400000001002,-33.42573437124861,-28.024982996017826,-5.400751375230783,clock-boundary,engine_diff_from_observed,engine anchor Pa-227 differs from observed most-abundant Pa-231
92,U,Uranium,145,237,U-238,146,238,-1,-1,1,92,145,"(92,145)",0.22362869198312235,0.7771254303447679,92,145,92,329,382,6827.083333333333,8785.046875,1957.963541666667,substrate-light / mass-heavy,-0.05078826799999092,-47.30897211411795,-37.42972749404424,-9.879244620073706,clock-boundary,engine_diff_from_observed,engine anchor U-237 differs from observed most-abundant U-238
93,Np,Neptunium,155,248,Np-237,144,237,11,11,31,3,5,"(3,5)",0.25,0.7508430518476887,93,155,93,341,403,6902.34375,9192.791666666666,2290.447916666666,substrate-light / mass-heavy,-0.04817344400001389,-44.87327897927307,-39.67281607294092,-5.200462906332149,clock-boundary,engine_diff_from_observed,engine anchor Np-248 differs from observed most-abundant Np-237
94,Pu,Plutonium,164,258,Pu-244,150,244,14,14,2,47,82,"(47,82)",0.2713178294573643,0.7295971105323753,94,164,94,352,422,6977.479166666667,9563.46875,2585.989583333333,substrate-light / mass-heavy,-0.06419800000000464,-59.80005838716348,-49.6049378529094,-10.19512053425408,clock-boundary,engine_diff_from_observed,engine anchor Pu-258 differs from observed most-abundant Pu-244
95,Am,Americium,174,269,Am-243,148,243,26,26,1,95,174,"(95,174)",0.2936802973977695,0.7073100534716342,95,174,95,364,443,7052.739583333333,9971.213541666666,2918.473958333333,substrate-light / mass-heavy,-0.06138000000001398,-57.17510800655262,-51.82936520984282,-5.3457427967098,clock-boundary,engine_diff_from_observed,engine anchor Am-269 differs from observed most-abundant Am-243
96,Cm,Curium,184,280,Cm-247,151,247,33,33,8,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,96,184,96,376,464,7128.0,10378.958333333334,3250.958333333334,substrate-light / mass-heavy,-0.07035300000001143,-65.53340458756492,-59.08115100982553,-6.452253577739384,clock-boundary,engine_diff_from_observed,engine anchor Cm-280 differs from observed most-abundant Cm-247
97,Bk,Berkelium,97,194,Bk-247,150,247,-53,-53,97,1,1,"(1,1)",0.0,1.0,97,97,97,291,291,7191.135416666667,7191.135416666667,0.0,balanced,-0.07030700000001389,-65.49055585885587,-62.79303243248759,-2.697523426368278,clock-boundary,engine_diff_from_observed,engine anchor Bk-194 differs from observed most-abundant Bk-247
98,Cf,Californium,106,204,Cf-251,153,251,-47,-47,2,49,53,"(49,53)",0.0392156862745098,0.9609165571525786,98,106,98,302,310,7266.270833333333,7561.8125,295.54166666666697,substrate-light / mass-heavy,-0.0795880000000011,-74.13575262340399,-70.06535463987052,-4.070397983533468,clock-boundary,engine_diff_from_observed,engine anchor Cf-204 differs from observed most-abundant Cf-251
99,Es,Einsteinium,115,214,Es-252,153,252,-38,-38,1,99,115,"(99,115)",0.07476635514018691,0.9254857725151966,99,115,99,313,329,7341.40625,7932.489583333333,591.083333333333,substrate-light / mass-heavy,-0.08297999999999206,-77.2953806188042,-75.50967138007879,-1.785709238725417,clock-boundary,engine_diff_from_observed,engine anchor Es-214 differs from observed most-abundant Es-252
100,Fm,Fermium,125,225,Fm-257,157,257,-32,-32,25,4,5,"(4,5)",0.1111111111111111,0.8892635785989728,100,125,100,325,350,7416.666666666667,8340.234375,923.567708333333,substrate-light / mass-heavy,-0.09510599999998703,-88.59067810474444,-83.40086077982494,-5.1898173249195025,clock-boundary,engine_diff_from_observed,engine anchor Fm-225 differs from observed most-abundant Fm-257
101,Md,Mendelevium,134,235,Md-258,157,258,-23,-23,1,101,134,"(101,134)",0.14042553191489363,0.8600480121016804,101,134,101,336,369,7491.802083333333,8710.911458333334,1219.109375000001,substrate-light / mass-heavy,-0.09843100000000504,-91.68789599530771,-88.95593749673726,-2.7319584985704495,clock-boundary,engine_diff_from_observed,engine anchor Md-235 differs from observed most-abundant Md-258
102,No,Nobelium,144,246,No-259,157,259,-13,-13,6,17,24,"(17,24)",0.17073170731707318,0.8298440354081776,102,144,102,348,390,7567.0625,9118.65625,1551.59375,substrate-light / mass-heavy,-0.10102999999998019,-94.10884916747415,-94.07210682381123,-0.036742343662922394,clock-boundary,engine_diff_from_observed,engine anchor No-246 differs from observed most-abundant No-259
103,Lr,Lawrencium,154,257,Lr-266,163,266,-9,-9,1,103,154,"(103,154)",0.19844357976653695,0.8022256131397996,103,154,103,360,411,7642.322916666667,9526.401041666666,1884.078124999999,substrate-light / mass-heavy,-0.11982999999997901,-111.62093829296904,-104.74903344297047,-6.871904849998572,clock-boundary,engine_diff_from_observed,engine anchor Lr-257 differs from observed most-abundant Lr-266
104,Rf,Rutherfordium,164,268,Rf-267,163,267,1,1,4,26,41,"(26,41)",0.22388059701492538,0.7768743747889748,104,164,104,372,432,7717.583333333333,9934.145833333334,2216.562500000001,substrate-light / mass-heavy,-0.12178999999997586,-113.44666673370932,-109.62246178268953,-3.8242049510197944,clock-boundary,engine_diff_from_observed,engine anchor Rf-268 differs from observed most-abundant Rf-267
105,Db,Dubnium,175,280,Db-268,163,268,12,12,35,3,5,"(3,5)",0.25,0.7508430518476886,105,175,105,385,455,7792.96875,10378.958333333334,2585.989583333334,substrate-light / mass-heavy,-0.12567000000001372,-117.06086385113417,-115.77668276143463,-1.284181089699544,clock-boundary,engine_diff_from_observed,engine anchor Db-280 differs from observed most-abundant Db-268
106,Sg,Seaborgium,185,291,Sg-269,163,269,22,22,1,106,185,"(106,185)",0.27147766323024053,0.7294378157521293,106,185,106,397,476,7868.229166666667,10786.703125,2918.473958333333,substrate-light / mass-heavy,-0.12862999999998692,-119.81808639427241,-121.49650337635046,1.6784169820780477,clock-boundary,engine_diff_from_observed,engine anchor Sg-291 differs from observed most-abundant Sg-269
107,Bh,Bohrium,196,303,Bh-270,163,270,33,33,1,107,196,"(107,196)",0.29372937293729373,0.7072611434250071,107,196,107,410,499,7943.614583333333,11231.515625,3287.901041666667,substrate-light / mass-heavy,-0.13335999999998194,-124.22405349871437,-128.48753767319965,4.263484174485285,clock-boundary,engine_diff_from_observed,engine anchor Bh-303 differs from observed most-abundant Bh-270
108,Hs,Hassium,207,315,Hs-277,169,277,38,38,9,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,108,207,108,423,522,8019.0,11676.328125,3657.328125,substrate-light / mass-heavy,-0.15199000000001206,-141.57778862682704,-137.72862112636597,-3.8491675004610784,clock-boundary,engine_diff_from_observed,engine anchor Hs-315 differs from observed most-abundant Hs-277
109,Mt,Meitnerium,109,218,Mt-278,169,278,-60,-60,109,1,1,"(1,1)",0.0,1.0,109,109,109,327,327,8080.760416666667,8080.760416666667,0.0,balanced,-0.15631000000001904,-145.60184314928793,-144.47309429621572,-1.12874885307221,clock-boundary,engine_diff_from_observed,engine anchor Mt-218 differs from observed most-abundant Mt-278
110,Ds,Darmstadtium,119,229,Ds-281,171,281,-52,-52,1,110,119,"(110,119)",0.039301310043668124,0.9608312221245273,110,119,110,339,348,8156.020833333333,8488.505208333334,332.4843750000009,substrate-light / mass-heavy,-0.16451000000000704,-153.24009478912075,-151.81594966162118,-1.4241451274995711,clock-boundary,engine_diff_from_observed,engine anchor Ds-229 differs from observed most-abundant Ds-281
111,Rg,Roentgenium,129,240,Rg-282,171,282,-42,-42,3,37,43,"(37,43)",0.075,0.9252529155543066,111,129,111,351,369,8231.28125,8896.25,664.96875,substrate-light / mass-heavy,-0.1691200000000208,-157.5342826012898,-159.02590205230047,1.4916194510106777,clock-boundary,engine_diff_from_observed,engine anchor Rg-240 differs from observed most-abundant Rg-282
112,Cn,Copernicium,140,252,Cn-285,173,285,-33,-33,28,4,5,"(4,5)",0.1111111111111111,0.8892635785989726,112,140,112,364,392,8306.666666666666,9341.0625,1034.395833333334,substrate-light / mass-heavy,-0.17712000000000216,-164.98623542063243,-166.55226475779705,1.566029337164622,clock-boundary,engine_diff_from_observed,engine anchor Cn-252 differs from observed most-abundant Cn-285
113,Nh,Nihonium,150,263,Nh-286,173,286,-23,-23,1,113,150,"(113,150)",0.14068441064638784,0.859790006362958,113,150,113,376,413,8381.927083333334,9748.807291666666,1366.8802083333321,substrate-light / mass-heavy,-0.18220999999999776,-169.7275404019461,-174.22093133956233,4.493390937616226,clock-boundary,engine_diff_from_observed,engine anchor Nh-263 differs from observed most-abundant Nh-286
114,Fl,Flerovium,161,275,Fl-289,175,289,-14,-14,1,114,161,"(114,161)",0.1709090909090909,0.82966724999042,114,161,114,389,436,8457.3125,10193.619791666666,1736.307291666666,substrate-light / mass-heavy,-0.19042000000001735,-177.37510698283256,-181.92972398554923,4.554617002716668,clock-boundary,engine_diff_from_observed,engine anchor Fl-275 differs from observed most-abundant Fl-289
115,Mc,Moscovium,172,287,Mc-290,175,290,-3,-3,1,115,172,"(115,172)",0.1986062717770035,0.8020634697605331,115,172,115,402,459,8532.697916666666,10638.432291666666,2105.734375,substrate-light / mass-heavy,-0.19598000000002003,-182.55421419229026,-190.05060389343282,7.4963897011425615,clock-boundary,engine_diff_from_observed,engine anchor Mc-287 differs from observed most-abundant Mc-290
116,Lv,Livermorium,183,299,Lv-293,177,293,6,6,1,116,183,"(116,183)",0.22408026755852842,0.7766753775758548,116,183,116,415,482,8608.083333333334,11083.244791666666,2475.161458333332,substrate-light / mass-heavy,-0.20449000000002115,-190.48122900388552,-197.94081898905534,7.459589985169828,clock-boundary,engine_diff_from_observed,engine anchor Lv-299 differs from observed most-abundant Lv-293
117,Ts,Tennessine,195,312,Ts-294,177,294,18,18,39,3,5,"(3,5)",0.25,0.7508430518476886,117,195,117,429,507,8683.59375,11565.125,2881.53125,substrate-light / mass-heavy,-0.21046000000001186,-196.04224879532424,-206.50766085990637,10.465412064582125,clock-boundary,engine_diff_from_observed,engine anchor Ts-312 differs from observed most-abundant Ts-294
118,Og,Oganesson,206,324,Og-294,176,294,30,30,2,59,103,"(59,103)",0.2716049382716049,0.7293109699085999,118,206,118,442,530,8758.979166666666,12009.9375,3250.958333333334,substrate-light / mass-heavy,-0.21391999999997324,-199.26521838966147,-214.4246600807503,15.15944169108883,clock-boundary,engine_diff_from_observed,engine anchor Og-324 differs from observed most-abundant Og-294
119,Uue,Ununennium,218,337,,,,,,1,119,218,"(119,218)",0.29376854599406527,0.7072221024679072,119,218,119,456,555,8834.489583333334,12491.817708333334,3657.328125,substrate-light / mass-heavy,,,-286.7113750299595,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=119, N=218, A=337"
120,Ubn,Unbinilium,230,350,,,,,,10,12,23,"(12,23)",0.3142857142857143,0.6867741223228085,120,230,120,470,580,8910.0,12973.697916666666,4063.697916666666,substrate-light / mass-heavy,,,-330.4736271754106,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=120, N=230, A=350"
121,Ubu,Unbiunium,121,242,,,,,,121,1,1,"(1,1)",0.0,1.0,121,121,121,363,363,8970.385416666666,8970.385416666666,0.0,balanced,,,-472.147541734948,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=121, N=121, A=242"
122,Ubb,Unbibium,132,254,,,,,,2,61,66,"(61,66)",0.03937007874015748,0.9607626853303448,122,132,122,376,386,9045.770833333334,9415.197916666666,369.4270833333321,substrate-light / mass-heavy,,,-412.5113515496968,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=122, N=132, A=254"
123,Ubt,Unbitrium,143,266,,,,,,1,123,143,"(123,143)",0.07518796992481203,0.9250655795030643,123,143,123,389,409,9121.15625,9860.010416666666,738.8541666666661,substrate-light / mass-heavy,,,-364.8705489351271,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=123, N=143, A=266"
124,Ubq,Unbiquadium,155,279,,,,,,31,4,5,"(4,5)",0.1111111111111111,0.8892635785989726,124,155,124,403,434,9196.666666666666,10341.890625,1145.223958333334,substrate-light / mass-heavy,,,-326.4848019578878,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=124, N=155, A=279"
125,Ubp,Unbipentium,166,291,,,,,,1,125,166,"(125,166)",0.140893470790378,0.8595816512131305,125,166,125,416,457,9272.052083333334,10786.703125,1514.651041666666,substrate-light / mass-heavy,,,-306.12612705792725,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=125, N=166, A=291"
126,Ubh,Unbihexium,178,304,,,,,,2,63,89,"(63,89)",0.17105263157894737,0.8295241933694711,126,178,126,430,482,9347.5625,11268.583333333334,1921.020833333334,substrate-light / mass-heavy,,,-294.90813664016684,,clock-boundary,frontier_prediction,"SAM frontier (Z=119..126), no observed isotope; engine output Z=126, N=178, A=304"
