isotope,Z,N,A,N_minus_Z,B_obs_u,B_pred_u,alpha,B_pred_rescaled_u,rescale_residual_MeV,abs_rescale_residual_MeV
Xe-132,54,78,132,24,0.095844910000,0.001457939779,18.545143884440,0.027037702977,64.093500498605691251975597593397462709342706947318120809180616038415577645821544,64.093500498605691251975597593397462709342706947318120809180616038415577645821544
Cs-133,55,78,133,23,0.094548040000,0.001409877096,18.545143884440,0.026146373607,63.715741834858864088818621232875208558955237992227363089811225307980172866857924,63.715741834858864088818621232875208558955237992227363089811225307980172866857924
Ba-138,56,82,138,26,0.094752941000,0.001569677216,18.545143884440,0.029109889825,61.146108311652878689901251080640092194735257781865786788653512294566687867886970,61.146108311652878689901251080640092194735257781865786788653512294566687867886970
Nd-142,60,82,142,22,0.092271176000,0.001377426484,18.545143884440,0.025544572345,62.155430944892113370713345638551075593185381961502755911175949372825068752032495,62.155430944892113370713345638551075593185381961502755911175949372825068752032495
Sm-152,62,90,152,28,0.080261354000,0.001697026724,18.545143884440,0.031471604780,45.447358660236251994878605334080842864745421540779603308860523345998098754090586,45.447358660236251994878605334080842864745421540779603308860523345998098754090586
Gd-158,64,94,158,30,0.075888800000,0.001808764161,18.545143884440,0.033543791627,39.444121229303629977164258821323472350137972375327269288333419602149208976156014,39.444121229303629977164258821323472350137972375327269288333419602149208976156014
Dy-162,66,96,162,30,0.073195493000,0.001816570197,18.545143884440,0.033688555681,36.800475071054627638510109204422532942446778837510344558700476999789359308225108,36.800475071054627638510109204422532942446778837510344558700476999789359308225108
Er-166,68,98,166,30,0.069698933000,0.001824376233,18.545143884440,0.033833319735,33.408603562823625299855959587521593534755585299693419829067534397429509640294203,33.408603562823625299855959587521593534755585299693419829067534397429509640294203
Yb-172,70,102,172,32,0.063613346000,0.001936113670,18.545143884440,0.035905506582,25.809686170589003282141613074764223020148136134241085808540430653580619862359630,25.809686170589003282141613074764223020148136134241085808540430653580619862359630
Hf-178,72,106,178,34,0.056291678000,0.002047851107,18.545143884440,0.037977693430,17.059366743340381264427266562006852505540686968788751788013326909731730084425057,17.059366743340381264427266562006852505540686968788751788013326909731730084425057
W-184,74,110,184,36,0.049066820000,0.002159588544,18.545143884440,0.040049880277,8.3992252502317592467129200492494819909332378033364177674862231658828403064904838,8.3992252502317592467129200492494819909332378033364177674862231658828403064904838
Os-190,76,114,190,38,0.041554558000,0.002271325981,18.545143884440,0.042122067125,-0.52863134445286277100142646350788852367421136211591625304088057796604947144408938,0.52863134445286277100142646350788852367421136211591625304088057796604947144408938
Pt-194,78,116,194,38,0.037316502000,0.002279132017,18.545143884440,0.042266831178,-4.6112019277078651096555760804088279313654048999328409826738231803258991393749946,4.6112019277078651096555760804088279313654048999328409826738231803258991393749946
Au-197,79,118,197,39,0.033431205000,0.002335000735,18.545143884440,0.043302924602,-9.1954475790547256999727493367875131886691294826590079929373750522503440283422812,9.1954475790547256999727493367875131886691294826590079929373750522503440283422812
Hg-200,80,120,200,40,0.031674100000,0.002390869454,18.545143884440,0.044339018026,-11.797295151549143063909922593166198445972854065385175003200926924174788917309568,11.797295151549143063909922593166198445972854065385175003200926924174788917309568
Hg-202,80,122,202,42,0.029356396000,0.002494800855,18.545143884440,0.046266440819,-15.751605288994106806430119489022629552889109693020584294095088065663829027313236,15.751605288994106806430119489022629552889109693020584294095088065663829027313236
Pb-206,82,124,206,42,0.025534790000,0.002502606891,18.545143884440,0.046411204873,-19.446255195949109145084269105923568960580303230837509023728030668023678695244140,19.446255195949109145084269105923568960580303230837509023728030668023678695244140
Pb-208,82,126,208,44,0.023347748000,0.002606538292,18.545143884440,0.048338627667,-23.278854464370225487856466001780000067496558858472918314622191809512718805247809,23.278854464370225487856466001780000067496558858472918314622191809512718805247809
Th-232,90,142,232,52,-0.038054000000,0.003053488040,18.545143884440,0.056627375057,-88.195132776890284881417852052809482125926355520282254396730606784908277916986101,88.195132776890284881417852052809482125926355520282254396730606784908277916986101
U-234,92,142,234,50,-0.040950296000,0.002957362674,18.545143884440,0.054844716317,-89.232479203050599554595804773853990426701293430463769835469388245779087474913338,89.232479203050599554595804773853990426701293430463769835469388245779087474913338
U-235,92,143,235,51,-0.043929908000,0.003009328375,18.545143884440,0.055808427714,-92.905661287207236301005903221782205980159421244281474480916468816523607529915173,92.905661287207236301005903221782205980159421244281474480916468816523607529915173
U-238,92,146,238,54,-0.050788268000,0.003165225477,18.545143884440,0.058699561904,-101.98725662854138094719619856556685264053380468573458841725771052875716769492067,101.98725662854138094719619856556685264053380468573458841725771052875716769492067
