scenario_id,seed,door,scenario_lane,anchor,p_level,geometry,atom_count,ledger_count,carrier_count,carrier_atom_index,atom_id,ledger_id,ledger_slot,route,shell,shell_index,dimension,side,binding,node_affinity,shock,carrier_exposure,final_fate,history_class,tau_escape,tau_closure,tau_closure_minus_escape,escape_before_closure,total_power_proxy,individual_power,individual_power_fraction,inner_product_with_total,leave_one_out_power,delta_power,delta_power_fraction,coherence_multiplier,peak_source_norm,reinforcement_tolerance,reinforcement_state,behavior_lane,source_rank_in_scenario,global_shortlist_rank
REF_0018,910003,validation,REFERENCE_LOW_DRIVE,low_drive,0,dispersed_slots,2268,14,252,1473,1473,9,15,9,outer_light_shell,3,0,1,0.58,0.2057724366019953,1.048436488503734,1.098436488503734,ejecta_candidate,neither,,,,,2.175707471604591,0.06078457584078645,0.013250903751850231,0.34015176314502266,1.5561885211553321,0.6195189504492589,0.2847436792559074,10.192042008682764,0.4151785287991321,8.633759807954725e-15,reinforcer,bound_reinforcer,3,123
REF_0258,910001,discovery,REFERENCE_HIGH_DRIVE,high_drive,0,dispersed_slots,2268,14,252,1471,1471,9,13,7,outer_light_shell,3,1,1,0.58,0.0075689626631537665,2.1301266139665325,2.1801266139665323,ejecta_candidate,escape_only,1.2604418165322357,,,,103.73926628502954,10.484661511400159,0.1340196009920075,19.899058548712826,74.42581069900405,29.313455586025494,0.2825685647851519,2.7958418642463996,3.3537409806252225,4.116637550993236e-13,reinforcer,outward_reinforcer,1,124
REF_0002,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,0,dispersed_slots,2268,14,252,1952,1952,12,8,8,outer_light_shell,3,2,0,0.58,0.14377678012296025,1.2290627374678245,1.2790627374678245,ejecta_candidate,neither,,,,,7.81203270044719,0.6639840759169482,0.11291612002017647,1.4306696287572485,5.614677518849642,2.1973551815975485,0.28127828772039876,3.309349216791151,1.1312932937749625,3.1000129763679325e-14,reinforcer,bound_reinforcer,3,125
REF_0015,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,3,localized_ledger_cells,9072,56,1008,8595,8595,53,9,3,outer_light_shell,3,0,1,0.58,0.0567268043322664,1.169052388877447,1.219052388877447,ejecta_candidate,escape_only,1.0156672659372674,,,,21.817674346369927,0.6507892559600924,0.07074406838257428,3.3863247663493183,15.695814069631382,6.121860276738544,0.2805917890032634,9.406824437670107,0.9621224898370027,2.1644518200763817e-14,reinforcer,outward_reinforcer,3,126
REF_0028,910004,final,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,3081,3081,19,3,9,outer_light_shell,3,0,1,0.58,0.17505003231754002,1.148818546035078,1.198818546035078,ejecta_candidate,escape_only,1.073352048185356,,,,2.490120578809016,0.3783998710889406,0.04341277080294561,0.5338341791604497,1.800852091577057,0.6892684872319589,0.2768012493441682,1.821534677716501,0.8012634164348342,6.58762057885983e-15,reinforcer,outward_reinforcer,4,127
REF_0006,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,2,dispersed_slots,5346,33,594,5022,5022,31,0,6,outer_light_shell,3,0,0,0.58,0.2276200435469088,1.189602633851481,1.239602633851481,ejecta_candidate,escape_only,1.086559502684949,,,,1.3412676682007438,0.37690814348848234,0.04165156830631791,0.37385637788437165,0.9704630559204829,0.37080461228026096,0.27645832451749197,0.9838063164363338,0.809900908472266,2.25802637744233e-15,reinforcer,outward_reinforcer,4,128
REF_0152,910003,validation,REFERENCE_MIDDLE_DRIVE,middle_drive,3,dispersed_slots,9072,56,1008,8426,8426,52,2,2,outer_light_shell,3,2,0,0.58,0.054111893453287485,1.1931510117611341,1.2431510117611342,ejecta_candidate,escape_only,1.2584618832139967,,,,22.027038342843646,0.6409763511606557,0.016211448979636705,3.3575452825307974,15.952924128942707,6.074114213900939,0.2757571907470872,9.476346830740578,1.0881787028911818,2.18522205782179e-14,reinforcer,outward_reinforcer,5,129
REF_0265,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,0,localized_ledger_cells,2268,14,252,1458,1458,9,0,6,outer_light_shell,3,0,0,0.58,0.01916008016518078,2.106698743945482,2.1566987439454817,ejecta_candidate,escape_only,1.024179019851843,,,,68.67370809944845,5.342337790347061,0.05774339066265992,12.134163470774828,49.747718948245854,18.925989151202593,0.27559294051509936,3.5426417972670126,2.680204322762346,2.7251471468035097e-13,reinforcer,outward_reinforcer,3,130
REF_0146,910003,validation,REFERENCE_MIDDLE_DRIVE,middle_drive,0,dispersed_slots,2268,14,252,1473,1473,9,15,9,outer_light_shell,3,0,1,0.58,0.2057724366019953,1.4694152706271237,1.5194152706271238,ejecta_candidate,neither,,,,,11.575262632051446,0.3362760944392257,0.016681792103364845,1.7528014949145994,8.405935736661473,3.169326895389973,0.2738017266765276,9.424776092618613,0.8973950538662241,4.593358187322002e-14,reinforcer,bound_reinforcer,3,131
REF_0158,910004,final,REFERENCE_MIDDLE_DRIVE,middle_drive,2,dispersed_slots,5346,33,594,4552,4552,28,16,4,outer_light_shell,3,1,0,0.58,0.17662803574754282,1.1774936503029776,1.2274936503029776,ejecta_candidate,escape_only,1.104669152822467,,,,15.880538518377604,0.7512902025426889,0.019133832023786337,2.5466852671250746,11.538458186670143,4.342080331707461,0.2734214791697794,5.779498144674315,1.0527707378716618,2.6734913330602025e-14,reinforcer,outward_reinforcer,4,132
REF_0155,910004,final,REFERENCE_MIDDLE_DRIVE,middle_drive,1,localized_ledger_cells,3402,21,378,2765,2765,17,11,5,outer_light_shell,3,2,1,0.58,0.16787397716341002,1.6115063718896638,1.6615063718896637,ejecta_candidate,dual,1.0051571333249996,1.0826639674851464,0.07750683416014681,True,51.62343363847614,1.654275111180632,0.10145694925118724,7.859469702263845,37.558769345129086,14.064664293347057,0.27244728415090036,8.5020104565977,1.799282269651262,1.365699302605189e-13,reinforcer,dual_launch_reinforcer,1,133
REF_0014,910002,discovery,REFERENCE_LOW_DRIVE,low_drive,2,dispersed_slots,5346,33,594,4389,4389,27,15,9,outer_light_shell,3,0,1,0.58,0.07642740682762061,1.0234557462236795,1.0734557462236796,ejecta_candidate,escape_only,1.1392600984519703,,,,6.4799299025941295,0.20630591223995975,0.038832928274079234,0.9843877200104595,4.71746037481317,1.7624695277809592,0.27198898047884507,8.542990884967878,0.6083512756758461,1.0908972899990117e-14,reinforcer,outward_reinforcer,2,134
REF_0286,910004,final,REFERENCE_HIGH_DRIVE,high_drive,2,dispersed_slots,5346,33,594,4385,4385,27,11,5,outer_light_shell,3,2,1,0.58,0.016489130463903323,1.7900686105824672,1.8400686105824673,ejecta_candidate,escape_only,1.1279257089370134,,,,61.6955430319671,3.643533486031778,0.029876137774730145,10.20158224008117,44.93591203783654,16.75963099413056,0.27165059533468533,4.599829000716473,2.3446576125594465,1.0386455055886717e-13,reinforcer,outward_reinforcer,2,135
REF_0286,910004,final,REFERENCE_HIGH_DRIVE,high_drive,2,dispersed_slots,5346,33,594,4552,4552,28,16,4,outer_light_shell,3,1,0,0.58,0.17662803574754282,1.520310989728258,1.570310989728258,ejecta_candidate,escape_only,1.0931783058815512,,,,61.6955430319671,2.18957511562855,0.01795401306820011,9.471655111700155,44.94180792419534,16.75373510777176,0.2715550311161202,7.651591849116514,1.6924261711466562,1.0386455055886717e-13,reinforcer,outward_reinforcer,3,136
REF_0280,910003,validation,REFERENCE_HIGH_DRIVE,high_drive,3,dispersed_slots,9072,56,1008,8262,8262,51,0,6,outer_light_shell,3,0,0,0.58,0.24414554513222408,1.9172583773935594,1.9672583773935592,ejecta_candidate,escape_only,1.1155225102203161,,,,69.40336937846111,1.866099771533179,0.013366321086690074,10.293367267301026,50.682734615392235,18.720634763068873,0.2697366846987504,10.03195812391536,1.784410054993597,6.885254898656856e-14,reinforcer,outward_reinforcer,5,137
REF_0140,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,2918,2918,18,2,2,outer_light_shell,3,2,0,0.58,0.2595093158250521,1.6667295914011109,1.7167295914011107,ejecta_candidate,escape_only,1.131584159110858,,,,11.175111437330592,1.0982539522290282,0.049673839370463116,2.05196555273854,8.169434284082541,3.0056771532480515,0.2689617164091582,2.736777907466389,1.62513604886191,2.956378687124495e-14,reinforcer,outward_reinforcer,3,138
REF_0137,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,0,localized_ledger_cells,2268,14,252,1471,1471,9,13,7,outer_light_shell,3,1,1,0.58,0.03489730462178642,1.6846804508347466,1.7346804508347464,ejecta_candidate,escape_only,1.0249170145414013,,,,26.01203749741977,1.4106995371805948,0.0458421759547355,4.196494816391792,19.029747401816778,6.982290095602989,0.26842534331636225,4.949523205740679,1.6699894269868112,1.0322237102150701e-13,reinforcer,outward_reinforcer,2,139
REF_0030,910004,final,REFERENCE_LOW_DRIVE,low_drive,2,dispersed_slots,5346,33,594,4387,4387,27,13,7,outer_light_shell,3,1,1,0.58,0.11940162095567064,1.198930264377543,1.248930264377543,ejecta_candidate,neither,,,,,2.8168410803122237,0.7364902723496891,0.0797177769632153,0.7462577871916221,2.060815778278669,0.756025302033555,0.26839473029474414,1.026524491113157,1.0722760079841895,4.7421567008623294e-15,reinforcer,bound_reinforcer,4,140
REF_0028,910004,final,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,2432,2432,15,2,8,outer_light_shell,3,2,0,0.58,0.4478865493208959,1.1297527686911635,1.1797527686911635,ejecta_candidate,escape_only,1.2358065934100892,,,,2.490120578809016,0.11750077822990035,0.013480539355848347,0.3926136825681639,1.8223939919025884,0.6677265869064275,0.2681503026756199,5.682741824909135,0.6816504903714157,6.58762057885983e-15,reinforcer,outward_reinforcer,5,141
REF_0263,910001,discovery,REFERENCE_HIGH_DRIVE,high_drive,3,localized_ledger_cells,9072,56,1008,8434,8434,52,10,10,outer_light_shell,3,1,0,0.58,0.15039047535954742,2.166345641649178,2.216345641649178,ejecta_candidate,escape_only,1.0017746286440712,,,,164.78196954508186,6.30952622480657,0.0531264799211857,25.0402028875542,121.01108999478004,43.770879550301835,0.26562905924198693,6.937268820313638,2.945607314692693,1.634741761359939e-13,reinforcer,outward_reinforcer,2,142
REF_0135,910001,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,3,localized_ledger_cells,9072,56,1008,8434,8434,52,10,10,outer_light_shell,3,1,0,0.58,0.15039047535954742,1.6866869931420807,1.7366869931420807,ejecta_candidate,escape_only,1.0013691812936685,,,,64.08768178401651,2.172734766340727,0.06307614638638431,9.583715531590308,47.09298548717662,16.994696296839887,0.26517882725285863,7.821799770554594,1.8005844440922356,6.357904938890528e-14,reinforcer,outward_reinforcer,2,143
REF_0269,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,2,localized_ledger_cells,5346,33,594,5035,5035,31,13,7,outer_light_shell,3,1,1,0.58,0.03556724646824283,1.9179627091268139,1.9679627091268137,ejecta_candidate,dual,1.0139126622364216,1.0468003556314756,0.03288769339505393,True,93.31390348233766,3.8034772353305817,0.03117634927117722,14.261816746927426,68.5937472238134,24.72015625852427,0.2649139660436911,6.499356964437228,2.3923393708865843,1.5709411360662906e-13,reinforcer,dual_launch_reinforcer,1,144
REF_0002,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,0,dispersed_slots,2268,14,252,2109,2109,13,3,9,outer_light_shell,3,0,1,0.58,0.1371223276376543,1.1858717169671307,1.2358717169671307,ejecta_candidate,escape_only,1.1343302948239256,,,,7.81203270044719,0.46508934843124283,0.07909238578507213,1.2641068631167094,5.748908322645015,2.063124377802176,0.26409571707042073,4.4359742590561195,0.8616053142953679,3.1000129763679325e-14,reinforcer,outward_reinforcer,4,145
REF_0144,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,3,dispersed_slots,9072,56,1008,8270,8270,51,8,2,outer_light_shell,3,2,0,0.58,0.5593884898992139,1.7006798846700837,1.7506798846700837,ejecta_candidate,escape_only,1.0951704928865666,,,,16.969660852426934,0.7332899854398309,0.018308181496296243,2.6065083136775486,12.489934210511667,4.479726641915266,0.26398445324701897,6.109079260407878,1.5451447006768155,1.68349810043918e-14,reinforcer,outward_reinforcer,3,146
REF_0004,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,1,dispersed_slots,3402,21,378,3078,3078,19,0,6,outer_light_shell,3,0,0,0.58,0.2276200435469088,1.2105508165505077,1.2605508165505077,ejecta_candidate,escape_only,1.0918608409573523,,,,2.4121812637038724,0.4163970796554531,0.048040181521278036,0.5263004663227026,1.7759774107139203,0.6362038529899521,0.2637462874631028,1.5278777975973743,0.8448169818237794,6.381431914560509e-15,reinforcer,outward_reinforcer,3,147
REF_0140,910002,discovery,REFERENCE_MIDDLE_DRIVE,middle_drive,1,dispersed_slots,3402,21,378,3242,3242,20,2,2,outer_light_shell,3,2,0,0.58,0.5245639224003904,1.512066871708592,1.5620668717085922,ejecta_candidate,escape_only,1.0844123106472665,,,,11.175111437330592,0.5538912471880655,0.025052406855156698,1.7501938967950894,8.22861489092848,2.9464965464021136,0.26366596547389287,5.319630092298019,1.3017502610238518,2.956378687124495e-14,reinforcer,outward_reinforcer,4,148
REF_0150,910003,validation,REFERENCE_MIDDLE_DRIVE,middle_drive,2,dispersed_slots,5346,33,594,4869,4869,30,9,9,outer_light_shell,3,0,1,0.58,0.37698883807878436,1.684268588780293,1.734268588780293,ejecta_candidate,escape_only,1.1249640921378585,,,,7.4706504227408645,0.29868474257277156,0.008385295665227516,1.1300404240936102,5.509254317126416,1.9613961056144489,0.2625468994833309,6.566777026237202,1.055146514426123,1.2576852563536808e-14,reinforcer,outward_reinforcer,5,149
REF_0007,910001,discovery,REFERENCE_LOW_DRIVE,low_drive,3,localized_ledger_cells,9072,56,1008,8434,8434,52,10,10,outer_light_shell,3,1,0,0.58,0.15039047535954742,1.2070283446349834,1.2570283446349835,ejecta_candidate,escape_only,1.0011071390857609,,,,18.18073204886359,0.5265362131855854,0.07605085444292765,2.641146464269715,13.424975333509746,4.7557567153538445,0.26158224556480986,9.032155047002643,0.9492709304049943,1.803644052466626e-14,reinforcer,outward_reinforcer,2,150
REF_0268,910002,discovery,REFERENCE_HIGH_DRIVE,high_drive,1,dispersed_slots,3402,21,378,2446,2446,15,16,10,outer_light_shell,3,1,0,0.58,0.5921362433509094,2.1464154348185414,2.196415434818541,ejecta_candidate,escape_only,1.1103152315564984,,,,27.87466115622729,1.1295083601304412,0.01629561020444698,4.198845798618868,20.606477919119996,7.268183237107295,0.26074516911153767,6.434820222373502,2.078847303594985,7.374248983128912e-14,reinforcer,outward_reinforcer,5,151
