sample_idx,mass_density_modulation_BEC,MEMS_pressure,EM_laser_focal,acoustic_phonon,charge_pulse_low_field,spontaneous_baseline
671,-2.3233,-3.3979,-2.568,-11.5663,-6.4831,-20.301
672,-2.3233,-3.3979,-2.568,-11.4099,-6.3267,-20.301
673,-2.6034,-3.7029,-3.1492,-12.2343,-7.1511,-20.5354
674,-2.3233,-3.3979,-2.7691,-11.8543,-6.771,-20.301
675,-2.3233,-3.3979,-2.7828,-11.868,-6.7848,-20.301
676,-2.3233,-3.3979,-2.6257,-11.7109,-6.6277,-20.301
677,-2.3233,-3.3979,-2.568,-11.461,-6.3778,-20.301
678,-2.7209,-3.8204,-3.2667,-12.3519,-7.2686,-20.6529
679,-2.717,-3.8165,-3.2628,-12.348,-7.2647,-20.649
680,-2.3233,-3.3979,-2.7216,-11.8068,-6.7236,-20.301
681,-2.782,-3.8815,-3.3278,-12.4129,-7.3297,-20.714
682,-2.7618,-3.8613,-3.3076,-12.3928,-7.3095,-20.6938
683,-2.8807,-3.9802,-3.4265,-12.5117,-7.4284,-20.8127
684,-2.9679,-4.0674,-3.5137,-12.5988,-7.5156,-20.8999
685,-2.4287,-3.5281,-2.9744,-12.0596,-6.9764,-20.3606
686,-2.3233,-3.3979,-2.8019,-11.887,-6.8038,-20.301
687,-2.6204,-3.7199,-3.1662,-12.2513,-7.1681,-20.5524
688,-2.6924,-3.7919,-3.2382,-12.3233,-7.2401,-20.6244
689,-2.3233,-3.3979,-2.6656,-11.7508,-6.6676,-20.301
690,-2.3233,-3.3979,-2.6704,-11.7556,-6.6723,-20.301
691,-2.4244,-3.5239,-2.9702,-12.0554,-6.9721,-20.3564
692,-2.3233,-3.3979,-2.6892,-11.7744,-6.6911,-20.301
693,-2.3233,-3.3979,-2.568,-11.4896,-6.4063,-20.301
694,-2.3233,-3.3979,-2.5682,-11.6534,-6.5702,-20.301
695,-2.3233,-3.3979,-2.7642,-11.8494,-6.7662,-20.301
696,-2.3233,-3.3979,-2.7207,-11.8059,-6.7227,-20.301
697,-2.3233,-3.3979,-2.568,-11.4778,-6.3946,-20.301
698,-2.4592,-3.5587,-3.005,-12.0901,-7.0069,-20.3912
699,-2.3233,-3.4149,-2.8612,-11.9463,-6.8631,-20.301
700,-2.3233,-3.3979,-2.7371,-11.8222,-6.739,-20.301
701,-2.3233,-3.3979,-2.568,-11.5082,-6.425,-20.301
702,-2.3233,-3.3979,-2.568,-11.6067,-6.5235,-20.301
703,-2.8851,-3.9846,-3.4309,-12.5161,-7.4328,-20.8171
704,-2.7713,-3.8708,-3.3171,-12.4023,-7.319,-20.7033
705,-2.6007,-3.7002,-3.1465,-12.2317,-7.1484,-20.5327
706,-2.3233,-3.3979,-2.615,-11.7002,-6.617,-20.301
707,-2.3233,-3.3979,-2.8315,-11.9167,-6.8334,-20.301
708,-2.6236,-3.7231,-3.1694,-12.2545,-7.1713,-20.5556
709,-2.8214,-3.9208,-3.3671,-12.4523,-7.3691,-20.7534
710,-2.3233,-3.3979,-2.6876,-11.7728,-6.6896,-20.301
711,-2.3233,-3.3979,-2.6743,-11.7595,-6.6763,-20.301
712,-2.3233,-3.3979,-2.568,-11.467,-6.3837,-20.301
713,-2.3685,-3.468,-2.9143,-11.9994,-6.9162,-20.301
714,-2.3765,-3.476,-2.9223,-12.0075,-6.9242,-20.3085
715,-2.8743,-3.9737,-3.42,-12.5052,-7.422,-20.8062
716,-2.9231,-4.0226,-3.4689,-12.5541,-7.4708,-20.8551
717,-2.4509,-3.5504,-2.9967,-12.0818,-6.9986,-20.3829
718,-2.583,-3.6825,-3.1288,-12.2139,-7.1307,-20.515
719,-2.6697,-3.7691,-3.2154,-12.3006,-7.2174,-20.6016
720,-2.8612,-3.9606,-3.4069,-12.4921,-7.4089,-20.7931
721,-2.3233,-3.3979,-2.568,-11.4438,-6.3606,-20.301
722,-2.3233,-3.3979,-2.568,-11.5955,-6.5122,-20.301
723,-2.3233,-3.3979,-2.8243,-11.9095,-6.8262,-20.301
724,-2.3233,-3.3979,-2.568,-11.4572,-6.374,-20.301
725,-2.3233,-3.3979,-2.568,-11.3985,-6.3152,-20.301
