candidate_id,operator_class,partition,tier,role,M_native,q_abs,q_sign,closure_depth,stability_status
QP093A-0090,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),18.0,1,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0091,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),30.00,2,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0092,V4_1_SINGLE_WRITE,2,1body_fermion,1-body fermion ladder (atomic identity broadcast),36.0,2,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0093,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),45.00,3,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0094,V4_1_SINGLE_WRITE,3,1body_fermion,1-body fermion ladder (atomic identity broadcast),54.0,3,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0095,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),60.00,4,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0096,V4_1_SINGLE_WRITE,4,1body_fermion,1-body fermion ladder (atomic identity broadcast),72.0,4,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0097,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),90.00,6,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0098,V4_1_SINGLE_WRITE,6,1body_fermion,1-body fermion ladder (atomic identity broadcast),108.0,6,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0099,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),120.00,8,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0100,V4_1_SINGLE_WRITE,8,1body_fermion,1-body fermion ladder (atomic identity broadcast),144.0,8,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0101,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),135.00,9,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0102,V4_1_SINGLE_WRITE,9,1body_fermion,1-body fermion ladder (atomic identity broadcast),162.0,9,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0103,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),180.00,12,negative,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0104,V4_1_SINGLE_WRITE,12,1body_fermion,1-body fermion ladder (atomic identity broadcast),216.0,12,positive,1,ANTIMATTER_STABLE_CONJUGATE
QP093A-0105,V4_1_SINGLE_WRITE,1,1body_fermion,1-body fermion ladder (atomic identity broadcast),180.00,1,negative,2,ANTIMATTER_STABLE_CONJUGATE
