lane_id,lane_class,range_name,channel,ell_min,ell_max,n_points,official_theory_chi2_diag,model_chi2_diag,delta_chi2_vs_official_theory,official_theory_chi2_per_point,model_chi2_per_point,delta_chi2_per_point,rms_model_minus_official_theory_Dl,max_abs_model_minus_official_theory_Dl,rms_model_minus_measured_in_sigma
wc_imported_tau_only,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.397832025093873,-0.19063643270207464,0.8067310163498552,0.7999225723247811,-0.006808444025074094,0.0003122290466602972,0.0008739845145146544,0.8943839065662916
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,2538.4529022281745,0.06454153597269396,1.0272716959498995,1.0272978155516692,2.6119601769605004e-05,1.97031363879745,8.543312869873262,1.0135570114954902
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,27.724125924286334,0.3654058078673508,0.9770971470149636,0.9901473544387976,0.013050207423833957,2.581594569154599,6.107861967913323,0.9950614827430502
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2045.7431132707995,0.009057641979325126,1.0400274812551196,1.0400320860553125,4.604800192844497e-06,0.053868225428029645,0.1509909671581795,1.0198196340801213
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.04812293586683,0.03784634150193611,0.9646527355130319,0.9660043905666724,0.0013516550536405753,0.008572825462137347,0.022227917324284974,0.9828552236045105
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2044.2088238756505,0.13056631448739608,1.0391856927103016,1.0392520711111595,6.637840085785262e-05,0.01925635824668728,0.03639102394874527,1.019437134457618
wc_all_imported_trio,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,22.517921378662518,-0.07054707913342995,0.8067310163498552,0.8042114778093756,-0.002519538540479641,0.00011716471307853957,0.0003310562453957902,0.8967783883487468
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,8659.254298558968,6120.865937866766,1.0272716959498995,3.504352205001606,2.477080509051706,204.09625983795056,618.031148436572,1.871991507726893
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,48.95180140193724,21.593081285518256,0.9770971470149636,1.7482786214977586,0.7711814744827948,100.4238553003396,117.20856214277524,1.3222248755403745
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2343.0030689068,297.26901327797964,1.0400274812551196,1.191155601884494,0.1511281206293745,5.176411788392336,13.6755534065924,1.0914007521916476
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TE,2,29,28,27.010276594364893,27.971245051627182,0.9609684572622896,0.9646527355130319,0.9989730375581136,0.034320302045081776,0.18350521043722834,0.3466141478908944,0.9994863868798383
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,EE,30,1996,1967,2044.0782575611631,2504.9890062232384,460.9107486620753,1.0391856927103016,1.273507374795749,0.23432168208544754,2.0970782977784874,4.300675142525122,1.128497839960604
wc_As_bare_radix_no_source,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,EE,2,29,28,22.588468457795948,21.645828716125564,-0.9426397416703836,0.8067310163498552,0.7730653112901987,-0.033665705059656555,0.0017508654799859682,0.004757262856146326,0.8792413271054761
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TT,30,2500,2471,2538.388360692202,3149.001672537908,610.613311845706,1.0272716959498995,1.2743835178218972,0.24711182187199757,42.92858076440989,130.7297121439933,1.1288859631609816
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,low_l_TTTEEE,TT,2,29,28,27.358720116418983,17.391761741823156,-9.966958374595826,0.9770971470149636,0.6211343479222556,-0.35596279909270806,87.6289463315328,141.43315054905543,0.788120769883814
wc_ns_scale_invariant,RUNNABLE_WRONG_CONTROL,high_l_TTTEEE,TE,30,1996,1967,2045.7340556288202,2062.91616972248,17.18211409365972,1.0400274812551196,1.048762668898058,0.008735187642938343,1.187933476673315,2.466399096605727,1.0240911428667168
