ledger_slot,source_kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_even_ledger,route_odd_ledger,even_candidate_address,odd_candidate_address
145,ledger_shadow,8,closure_cell,,1,edge,0,1,1,1,1,24,"[1,1,-1]",3,1,7,"[""[0,0,1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,1,0]""]"
146,ledger_shadow,8,closure_cell,,2,edge,0,2,2,0,2,24,"[1,1,-1]",3,2,8,"[""[-1,0,0]"",""[0,0,-1]""]","[""[0,0,-1]"",""[0,1,0]""]"
147,ledger_shadow,8,closure_cell,,3,edge,0,3,0,1,3,24,"[1,1,-1]",3,3,9,"[""[0,1,0]"",""[1,0,0]""]","[""[0,0,-1]"",""[1,0,0]""]"
148,ledger_shadow,8,closure_cell,,4,edge,0,4,1,0,4,24,"[1,1,-1]",3,4,10,"[""[0,-1,0]"",""[0,0,-1]""]","[""[0,-1,0]"",""[1,0,0]""]"
149,ledger_shadow,8,closure_cell,,5,edge,0,5,2,1,5,24,"[1,1,-1]",3,5,11,"[""[0,0,1]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,1]""]"
150,ledger_shadow,8,closure_cell,,6,edge,1,0,0,0,0,25,"[1,1,0]",2,6,0,"[""[-1,0,0]"",""[0,0,1]""]","[""[-1,0,0]"",""[0,-1,0]""]"
151,ledger_shadow,8,closure_cell,,7,edge,1,1,1,1,1,25,"[1,1,0]",2,7,1,"[""[-1,0,0]"",""[0,1,0]""]","[""[0,0,1]"",""[0,1,0]""]"
152,ledger_shadow,8,closure_cell,,8,edge,1,2,2,0,2,25,"[1,1,0]",2,8,2,"[""[0,0,-1]"",""[0,1,0]""]","[""[-1,0,0]"",""[0,0,-1]""]"
153,ledger_shadow,8,closure_cell,,9,edge,1,3,0,1,3,25,"[1,1,0]",2,9,3,"[""[0,0,-1]"",""[1,0,0]""]","[""[0,1,0]"",""[1,0,0]""]"
154,ledger_shadow,8,closure_cell,,10,edge,1,4,1,0,4,25,"[1,1,0]",2,10,4,"[""[0,-1,0]"",""[1,0,0]""]","[""[0,-1,0]"",""[0,0,-1]""]"
155,ledger_shadow,8,closure_cell,,11,edge,1,5,2,1,5,25,"[1,1,0]",2,11,5,"[""[0,-1,0]"",""[0,0,1]""]","[""[0,0,1]"",""[1,0,0]""]"
156,ledger_shadow,8,closure_cell,,12,point,2,0,0,0,0,26,"[1,1,1]",3,0,6,"[-1,0,0]","[-1,0,0]"
157,ledger_shadow,8,closure_cell,,13,point,2,1,1,1,1,26,"[1,1,1]",3,1,7,"[0,1,0]","[0,1,0]"
158,ledger_shadow,8,closure_cell,,14,point,2,2,2,0,2,26,"[1,1,1]",3,2,8,"[0,0,-1]","[0,0,-1]"
159,ledger_shadow,8,closure_cell,,15,point,2,3,0,1,3,26,"[1,1,1]",3,3,9,"[1,0,0]","[1,0,0]"
160,ledger_shadow,8,closure_cell,,16,point,2,4,1,0,4,26,"[1,1,1]",3,4,10,"[0,-1,0]","[0,-1,0]"
161,ledger_shadow,8,closure_cell,,17,point,2,5,2,1,5,26,"[1,1,1]",3,5,11,"[0,0,1]","[0,0,1]"
